PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Seven & I Holdings,$0 ,$0 ,$0 
ABB Group,Switzerland/Asea Brown Boveri,"$12,000 ","$4,000 ","$7,000 "
Accenture (Accenture),Ireland/Accenture plc,"$435,000 ","$195,500 ","$238,500 "
ACE INA,Switzerland/ACE Ltd,"$213,000 ","$91,000 ","$120,000 "
ADT Security Services (Tyco International),Ireland/Tyco International,"$20,000 ","$10,000 ","$10,000 "
Advance America Cash Advance Centers (Grupo Salinas),Mexico/Grupo Salinas,"$78,000 ","$3,000 ","$75,000 "
Advanced BioHealing (Shire Plc),UK/Shire Plc,"$6,500 ","$4,000 ","$2,500 "
Air Liquide America,France/L'Air Liquide SA,"$43,500 ","$18,500 ","$25,000 "
Airbus Group,Netherlands/Airbus Group,"$201,700 ","$41,500 ","$159,200 "
Alcatel-Lucent USA (Alcatel-Lucent),France/Alcatel-Lucent,"$3,000 ",$0 ,"$3,000 "
Alkermes Inc,Ireland/Alkermes Plc,"$58,600 ","$30,900 ","$27,700 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$85,900 ","$22,400 ","$62,300 "
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,$0 ,$0 ,$0 
Anheuser-Busch,Belgium/Anheuser-Busch InBev,"$565,898 ","$245,731 ","$317,667 "
AON Corp (AON plc),UK/AON PLC,"$133,500 ","$68,000 ","$65,500 "
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$32,750 ","$20,250 ","$12,500 "
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,"$11,100 ","$4,600 ","$6,500 "
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$81,500 ","$32,000 ","$49,500 "
Arch Capital Group (US),UK/Arch Capital Group,"$5,600 ","$5,600 ",$0 
AREVA Inc,France/Areva Group,"$197,550 ","$97,600 ","$99,950 "
Arkema Inc,France/Arkema,"$52,000 ","$22,000 ","$30,000 "
Ashta Chemicals,Mexico/Bigshire Mexico,"$1,000 ","$1,000 ",$0 
Ashton Woods Homes,Canada/Great Gulf Group,"$2,000 ",$0 ,"$2,000 "
Astellas US,Japan/Astellas Pharma,"$143,600 ","$68,100 ","$75,500 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$626,548 ","$275,548 ","$347,500 "
Atkins North America,UK/WS Atkins PLC,"$2,000 ","$1,500 ",$500 
Austal USA (Austal Ltd),Australia/Austal Ltd,"$6,000 ",$0 ,"$6,000 "
Aviva USA,UK/Aviva PLC,$0 ,$0 ,$0 
AXA Equitable Life Insurance (AXA),France/AXA,"$178,000 ","$79,500 ","$96,500 "
Bacardi USA,UK/Bacardi Ltd,"$12,000 ","$4,500 ","$7,500 "
BAE Systems (BAE Systems),UK/BAE Systems,"$843,499 ","$319,999 ","$517,500 "
BancWest Corp (BNP Paribas),France/BNP Paribas,"$19,500 ","$2,000 ","$17,500 "
Barclays Group US,UK/Barclays plc,"$118,000 ","$55,000 ","$63,000 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$86,000 ","$41,500 ","$44,500 "
BASF Corp,Germany/BASF SE,"$388,500 ","$134,000 ","$253,500 "
Bayer Corp,Germany/Bayer AG,"$307,500 ","$87,500 ","$217,000 "
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$329,975 ","$69,500 ","$260,475 "
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$60,349 ","$31,500 ","$28,849 "
BioFire Diagnostics (Institut Merieux),France/Institut Merieux,"$2,500 ","$2,500 ",$0 
BlackBerry,Canada/BlackBerry,"$9,000 ","$3,000 ","$6,000 "
BMO Harris Bank (Bank of Montreal),Canada/Bank of Montreal,"$17,900 ","$10,300 ","$7,600 "
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$210,600 ","$112,600 ","$98,000 "
Bombardier Aerospace (Bombardier Inc),Canada/Bombardier Inc,"$14,000 ","$5,500 ","$8,500 "
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$2,000 ","$2,000 ",$0 
BP North America,UK/BP PLC,"$463,000 ","$138,000 ","$325,000 "
Bridgestone Americas,Japan/Bridgestone Corp,"$25,500 ","$3,000 ","$22,500 "
Bumble Bee Foods,UK/Lion Capital,"$22,500 ","$7,500 ","$15,000 "
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$3,000 ",$0 ,"$3,000 "
CalPortland Co,Japan/Taiheiyo Cement Co,"$52,500 ","$6,500 ","$46,000 "
Carmeuse Lime,Netherlands/LVI Holding,"$9,500 ","$3,000 ","$6,500 "
Case New Holland,Netherlands/CNH Industrial,"$70,000 ","$5,000 ","$65,000 "
CEMEX Inc,Mexico/CEMEX SAB de CV,"$269,450 ","$66,350 ","$203,100 "
CGI Technologies & Solutions,Canada/CGI Group,"$34,000 ","$12,000 ","$22,000 "
Chicago Bridge & Iron,Netherlands/Chicago Bridge & Iron NV,"$161,000 ","$57,500 ","$103,500 "
Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$109,000 ","$55,000 ","$54,000 "
Cobham Management Services,UK/Cobham PLC,"$152,000 ","$72,500 ","$79,500 "
Commonwealth-Altadis,UK/Imperial Tobacco Group,"$65,000 ","$4,000 ","$61,000 "
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$9,500 ","$6,000 ","$3,500 "
Cooper Industries (Eaton Corp),Ireland/Eaton Plc,$0 ,$0 ,$0 
Covidien US,UK/Covidien Ltd,"$192,500 ","$60,500 ","$131,500 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$419,250 ","$206,000 ","$213,250 "
CSL Behring,Australia/CSL Ltd,"$49,600 ","$12,000 ","$37,600 "
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$207,500 ","$65,500 ","$140,000 "
Delphi Automotive,UK/Delphi Automotive,"$20,000 ","$10,000 ","$9,000 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$68,500 ","$6,500 ","$62,000 "
DHL (Deutsche Post AG),Germany/Deutsche Post AG,$0 ,$0 ,$0 
Diageo North America (Diageo PLC),UK/Diageo PLC,"$113,784 ","$57,477 ","$56,307 "
Direct Energy Inc,UK/Centrica Plc,$0 ,$0 ,$0 
DRS Technologies,Italy/Finmeccanica SpA,"$326,700 ","$125,600 ","$201,100 "
E2v Aerospace & Defense,UK/E2v Technologies PLC,$500 ,$500 ,$0 
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$51,900 ","$8,500 ","$43,400 "
EDF Renewable Energy,France/EDF Group,"$24,250 ","$16,750 ","$7,500 "
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$11,300 ","$7,800 ","$3,500 "
Eisai Inc,Japan/Eisai Co Ltd,"$64,160 ","$24,160 ","$40,000 "
Elbit Systems of America,Israel/Elbit Systems Ltd,"$49,000 ","$12,500 ","$36,500 "
Elekta Inc (Elekta AB),Sweden/Elekta AB,$0 ,$0 ,$0 
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$20,500 ","$3,000 ","$17,500 "
EMD Serono Inc,Germany/Merck KGaA,"$101,500 ","$60,000 ","$41,500 "
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,$0 ,$0 ,$0 
EnCana Oil & Gas USA,Canada/EnCana Corp,"$24,500 ","$4,000 ","$20,500 "
Endo Pharmaceuticals,Ireland/Endo International,"$133,500 ","$33,500 ","$100,000 "
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$3,500 ",$0 ,"$3,500 "
Essroc Corp,Italy/Italcementi Group,"$1,500 ","$1,500 ",$0 
Experian,UK/Experian,"$445,100 ","$165,100 ","$279,000 "
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$303,700 ","$84,500 ","$219,200 "
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$11,250 ","$10,750 ",$500 
Food Lion,Belgium/Delhaize Group,"$10,200 ","$5,200 ","$5,000 "
Foster Wheeler,Switzerland/Foster Wheeler PLC,$0 ,$0 ,$0 
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$198,000 ","$91,000 ","$107,000 "
G4S Secure Solutions,UK/G4S plc,"$17,500 ","$5,000 ","$12,500 "
Gavilon (Marubeni Corp),Japan/Marubeni Corp,"$12,000 ","$4,000 ","$8,000 "
GDF Suez Energy North America,France/GDF SUEZ,"$46,000 ","$18,000 ","$28,000 "
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$306,500 ","$180,500 ","$123,500 "
General Cigar Co,Sweden/Scandinavian Tobacco Group,"$12,000 ","$6,500 ","$5,500 "
Genzyme Corp (Sanofi),France/Sanofi,"$7,000 ","$6,000 ","$1,000 "
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,$0 ,$0 ,$0 
GKN Corp,UK/GKN PLC,"$6,000 ","$3,000 ","$3,000 "
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,"$4,500 ",$0 ,"$4,500 "
Glanbia Performance Nutrition (Glanbia PLC),Ireland/Glanbia plc,$0 ,$0 ,$0 
GlaxoSmithKline,UK/GlaxoSmithKline,"$440,000 ","$174,500 ","$263,500 "
Glover Park Group (WPP plc),UK/WPP plc,"$139,800 ","$91,300 ","$48,500 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$59,250 ","$21,250 ","$38,000 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$36,500 ","$19,000 ","$17,500 "
Greyhound Lines,UK/FirstGroup PLC,"$16,500 ","$6,500 ","$10,000 "
Grifols Inc (Grifols SA),Spain/Grifols SA,"$83,000 ","$48,000 ","$33,000 "
Gtech Corp,Italy/B&D Holding Di Marco Drago e C Sapa,"$21,200 ","$17,600 ","$3,600 "
Heineken USA,Netherlands/L'Arche Green NV,"$27,840 ","$18,340 ","$9,500 "
Henkel Corp (Henkel KGaA),Germany/Henkel KGaA,"$6,000 ","$4,000 ","$2,000 "
Herbalife International of America,UK/Herbalife International,"$146,700 ","$88,100 ","$58,600 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"($2,000)","($4,000)","$2,000 "
Holcim US,Switzerland/Holcim Ltd,"$76,100 ","$22,000 ","$54,100 "
HSBC North America,UK/HSBC Holdings,"$176,000 ","$83,500 ","$92,500 "
Iberdrola Renewables (Iberdrola SA),Spain/Iberdrola SA,"$18,500 ","$15,000 ","$3,500 "
Iberdrola USA (Iberdrola SA),Spain/Iberdrola SA,"$102,500 ","$73,000 ","$29,500 "
ICAP North America,UK/ICAP plc,$0 ,$0 ,$0 
Infineon Technologies,Germany/Infineon Technologies AG,$250 ,$250 ,$0 
Ingersoll-Rand,Ireland/Ingersoll Rand Co,"$44,500 ","$15,500 ","$29,000 "
Intelsat US,Luxembourg/Intelsat Holdings,"$45,000 ","$22,500 ","$20,000 "
Intergraph Corp,Sweden/Hexagon AB,"$2,000 ",$0 ,"$2,000 "
International Securities Exchange,Germany/Deutsche Boerse,"$68,000 ","$41,500 ","$26,500 "
Jackson National Life Insurance,UK/Prudential PLC,"$159,460 ","$41,000 ","$115,960 "
JBS USA,Brazil/JBS SA,"$142,500 ","$14,000 ","$128,500 "
Jeld-Wen Inc (Onex Corp),Canada/Onex Corp,"$9,600 ","$2,000 ","$7,600 "
John Hancock Life Insurance,Canada/Manulife Financial,"$109,000 ","$52,500 ","$56,500 "
Kawasaki Heavy Industries,Japan/Kawasaki Heavy Industries,$0 ,$0 ,$0 
Keystone Foods,Brazil/Marfrig Global Foods,"$2,000 ",$0 ,"$2,000 "
LaFarge North America,France/Lafarge SA,"$40,500 ","$17,000 ","$23,500 "
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$5,500 ","$1,500 ","$4,000 "
Lehigh Hanson,Germany/HeidelbergCement AG,"$58,500 ","$7,500 ","$51,000 "
Linde North America,Germany/Linde AG,"$102,350 ","$33,500 ","$68,850 "
Louis Dreyfus Commodities,Netherlands/Louis Dreyfus Group,"$45,700 ","$2,000 ","$43,700 "
Lundbeck Inc,Denmark/H Lundbeck A/S,"$14,500 ","$8,500 ","$6,000 "
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$112,500 ","$24,000 ","$87,500 "
M-E Companies,Canada/IBI Group,$500 ,$0 ,$500 
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$109,100 ","$42,600 ","$66,500 "
Magna US,Canada/Magna International,"$1,000 ","$1,000 ",$0 
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,$0 ,$0 ,$0 
Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$22,250 ","$3,750 ","$18,500 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$25,500 ","$9,500 ","$15,000 "
MBDA Inc,UK/MBDA,"$16,400 ",$0 ,"$16,400 "
McDermott International (McDermott International),Panama/McDermott International,"$26,600 ","$2,000 ","$24,600 "
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,"$6,000 ","$3,500 ","$2,500 "
Millennium Pharmaceuticals (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$8,200 ","$3,700 ","$4,500 "
MillerCoors LLC,UK/SABMiller PLC,"$190,500 ","$48,000 ","$142,500 "
Miraca Life Sciences,Japan/Miraca Holdings,"$29,500 ","$13,500 ","$16,000 "
Mitsubishi Hitachi Power Systems,Japan/Mitsubishi Hitachi Power Systems,"$1,000 ",$0 ,"$1,000 "
Morpho Detection (Safran Identity & Security),France/Safran Identity & Security,"$7,000 ","$3,000 ","$4,000 "
MorphoTrust USA (Safran Identity & Security),France/Safran Identity & Security,"$20,000 ","$12,000 ","$8,000 "
Motorola Mobility (Lenovo Group),China/Lenovo Group,"$4,500 ","$3,500 ","$1,000 "
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,"$6,500 ","$2,500 ","$4,000 "
Munich American Reassurance,Germany/Munich Re Group,$0 ,$0 ,$0 
Nammo Talley Inc,Norway/Nammo AS,"$12,250 ","$3,250 ","$9,000 "
National Cement Co,France/Vicat Group,"$3,000 ",$0 ,"$3,000 "
National Grid USA (National Grid plc),UK/National Grid plc,"$99,850 ","$70,350 ","$28,500 "
National Grid USA (National Grid plc),UK/National Grid plc,$0 ,$0 ,$0 
Natixis Global Asset Management,France/Groupe BPCE,"$11,100 ","$5,000 ","$6,100 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$38,000 ","$8,000 ","$30,000 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$17,500 ","$8,000 ","$9,500 "
Nomura Holding America,Japan/Nomura Holdings,"$88,000 ","$46,500 ","$41,500 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$326,250 ","$171,000 ","$153,250 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$407,938 ","$196,090 ","$211,848 "
Novocure Inc,UK/Novocure,"$28,600 ","$10,400 ","$18,200 "
Oldcastle Materials,Ireland/CRH PLC,"$326,500 ","$136,500 ","$189,500 "
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,$0 ,$0 ,$0 
Parsons Brinckerhoff,UK/Balfour Beatty,"$143,200 ","$96,450 ","$46,750 "
Pernod Ricard USA,France/Pernod Ricard SA,"$17,775 ","$9,000 ","$8,775 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$5,750 ","$3,250 ","$2,500 "
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$57,500 ","$25,000 ","$32,500 "
Philips Electronics North America (Philips Electronics),Netherlands/Philips Electronics,"$91,300 ","$34,550 ","$56,750 "
Philips Medical Systems (Philips Electronics),Netherlands/Philips Electronics,$0 ,$0 ,$0 
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$19,500 ","$2,000 ","$17,500 "
Prime Policy Group (WPP plc),UK/WPP plc,"$52,500 ","$20,750 ","$31,750 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$30,823 ","$4,600 ","$26,223 "
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$21,200 ","$9,000 ","$12,200 "
Reed Elsevier Inc,UK/Reed Elsevier Group,"$68,100 ","$32,000 ","$36,100 "
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$31,500 ","$23,500 ","$8,000 "
Res-Care Inc (Onex Corp),Canada/Onex Corp,"$14,000 ","$1,500 ","$12,500 "
Resolute FP US,Canada/Resolute Forest Products,"$48,000 ","$7,500 ","$40,500 "
Rio Tinto America,UK/Rio Tinto Group,"$18,500 ","$6,000 ","$11,500 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$238,000 ","$67,000 ","$171,000 "
Royal Ten Cate USA,Netherlands/Koninklijke Ten Cate,"$21,500 ","$7,500 ","$14,000 "
Safelite Group,Belgium/D'Ieteren SA,"$1,000 ",$0 ,"$1,000 "
Sanofi US (Sanofi),France/Sanofi,"$442,775 ","$168,000 ","$272,775 "
Sanofi-Pasteur Inc (Sanofi),France/Sanofi,"$110,500 ","$22,000 ","$88,500 "
Santander Bank (Banco Santander),Spain/Banco Santander,$0 ,$0 ,$0 
SAP America,Germany/SAP AG,"$117,600 ","$76,100 ","$41,500 "
Securitas Security Services USA,Sweden/Securitas AB,"$10,800 ","$1,300 ","$9,500 "
Serco Inc,UK/Serco Group,"$138,600 ","$43,100 ","$89,500 "
Shell Oil,Netherlands/Royal Dutch Shell,"$97,100 ","$23,100 ","$74,000 "
Shire Pharmaceuticals (Shire Plc),UK/Shire Plc,$0 ,$0 ,$0 
Siemens Corp,Germany/Siemens AG,"$291,900 ","$130,400 ","$159,500 "
Skilled Healthcare Group (Onex Corp),Canada/Onex Corp,"$33,100 ","$9,000 ","$24,100 "
Smith & Nephew,UK/Smith & Nephew Plc,"$53,500 ","$16,000 ","$37,500 "
Smithfield Foods,China/WH Group,"$100,700 ","$33,000 ","$67,700 "
Smiths Group Services Corp,UK/Smiths Group PLC,"$107,500 ","$33,500 ","$74,000 "
Sodexo Inc,France/Sodexo,"$9,000 ","$8,000 ","$1,000 "
Solvay America,Belgium/Solvay SA,"$21,500 ","$10,500 ","$11,000 "
SonoSite Inc,Japan/FujiFilm,$0 ,$0 ,$0 
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$232,498 ","$144,498 ","$87,000 "
Space Systems/Loral,Canada/MacDonald Dettwiler & Assoc,"$10,000 ","$6,000 ","$4,000 "
Sprint Communications (SoftBank Corp),Japan/Softbank Corp,"$306,000 ","$133,500 ","$169,500 "
SSAB Americas,Sweden/SSAB AB,"$15,000 ","$5,000 ","$10,000 "
StandardAero,United Arab Emirates/Dubai Aerospace Enterprise,"$27,000 ","$13,500 ","$13,500 "
Sunovion Pharmaceuticals,Japan/Sumitomo Chemical,"$20,000 ","$9,000 ","$11,000 "
Sunpower Corp,France/Total SA,"$11,100 ","$9,100 ","$2,000 "
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$40,600 ","$6,000 ","$34,600 "
Swiss Re America,Switzerland/Swiss Reinsurance,"$15,500 ","$4,500 ","$11,000 "
Syngenta Corp,Switzerland/Syngenta AG,"$85,750 ","$16,250 ","$69,500 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$368,500 ","$213,500 ","$152,000 "
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$104,000 ","$53,000 ","$51,000 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$21,600 ","$2,000 ","$19,600 "
TD Bank USA,Canada/Toronto-Dominion Bank,"$95,250 ","$44,750 ","$50,500 "
TE Connectivity,Switzerland/TE Connectivity,"$111,000 ","$25,000 ","$86,000 "
Terumo BCT,Japan/Terumo Corp,$0 ,$0 ,$0 
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$163,500 ","$48,500 ","$115,000 "
Toyota Motor North America,Japan/Toyota Motor Corp,"$284,000 ","$124,000 ","$160,000 "
TracFone Wireless,Mexico/America Movil,"$2,000 ",$0 ,"$2,000 "
TransAmerica,Netherlands/Aegon NV,"$288,000 ","$117,000 ","$171,000 "
Transcanada USA Services,Canada/TransCanada Corp,"$15,500 ","$2,500 ","$13,000 "
Travelport Inc,UK/Travelport Ltd,"$3,000 ",$0 ,"$3,000 "
Tronox Inc,Australia/Tronox Ltd,$0 ,$0 ,$0 
Tyco International (Tyco International),Ireland/Tyco International,"$364,750 ","$130,000 ","$234,750 "
UBS Americas,Switzerland/UBS AG,"$1,481,250 ","$670,000 ","$808,750 "
UCB Inc (UCB SA),Belgium/UCB SA,$0 ,$0 ,$0 
Ultra Electronics USA,UK/Ultra Electronics,$0 ,$0 ,$0 
United Illuminating (Iberdrola SA),Spain/Iberdrola SA,$0 ,$0 ,$0 
United Water,France/SUEZ Environnement,"$24,100 ","$23,600 ",$500 
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$89,750 ","$45,250 ","$44,500 "
VT Halter Marine,Singapore/ST Engineering,"$13,250 ",$750 ,"$12,000 "
Weatherford US,UK/Weatherford International,"$1,000 ",$0 ,"$1,000 "
Westfield Corp,Australia/Westfield Group of Australia,"$20,155 ","$19,655 ",$500 
Westinghouse Electric,Japan/Toshiba Corp,"$114,000 ","$26,500 ","$87,500 "
Wexler & Walker Public Policy Assoc (WPP plc),UK/WPP plc,"$64,000 ","$30,000 ","$34,000 "
Willis North America,UK/Willis Group Holdings,"$5,500 ","$1,000 ","$4,500 "
XL America,Ireland/XL Group PLC,$0 ,$0 ,$0 
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$188,500 ","$100,000 ","$88,500 "
