PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$109,500 ","$65,000 ","$41,000 "
AXA Equitable Life Insurance (AXA),France/AXA,"$119,500 ","$38,500 ","$81,000 "
Bacardi USA,UK/Bacardi Ltd,"$46,000 ","$20,500 ","$24,500 "
BAE Systems (BAE Systems),UK/BAE Systems,"$611,500 ","$229,000 ","$378,500 "
Barclays Group US,UK/Barclays plc,"$208,238 ","$80,500 ","$124,738 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$63,000 ","$31,000 ","$32,000 "
BASF Corp,Germany/BASF SE,"$638,875 ","$301,625 ","$337,250 "
Bayer Corp (Bayer AG),Germany/Bayer AG,"$278,000 ","$86,500 ","$191,500 "
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$250,500 ","$69,500 ","$181,000 "
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$29,070 ","$4,000 ","$25,070 "
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0 ,$0 ,$0 
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$106,984 ","$42,500 ","$64,484 "
BMO Harris Bank (Bank of Montreal),Canada/Bank of Montreal,"$61,765 ","$38,460 ","$23,305 "
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$123,500 ","$61,500 ","$62,000 "
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$40,500 ","$20,500 ","$20,000 "
BP North America,UK/BP PLC,"$348,500 ","$117,000 ","$231,500 "
Bridgestone Americas,Japan/Bridgestone Corp,"$28,000 ","$6,000 ","$22,000 "
Brightspring Health Services (Onex Corp),Canada/Onex Corp,"$9,950 ","$2,700 ","$7,250 "
Brookfield Properties Retail (Brookfield Asset Management),Canada/Brookfield Asset Management,"$18,500 ","$2,500 ","$16,000 "
Bumble Bee Foods,UK/Lion Capital,"$8,000 ","$2,000 ","$6,000 "
Buzzi Unicem USA (Buzzi Unicem SpA),Italy/Buzzi Unicem SpA,$0 ,$0 ,$0 
CalPortland Co,Japan/Taiheiyo Cement Co,"$103,500 ","$6,000 ","$97,500 "
Cardtronics Inc,UK/Cardtronics Plc,"$2,500 ",$0 ,"$2,500 "
Carmeuse Lime,Netherlands/Carmeuse SA,$0 ,$0 ,$0 
Case New Holland,Netherlands/CNH Industrial,"$92,000 ","$8,000 ","$84,000 "
CEMEX Inc,Mexico/CEMEX SAB de CV,"$279,000 ","$47,000 ","$232,000 "
CGI Technologies & Solutions,Canada/CGI Group,"$44,500 ","$20,500 ","$24,000 "
Chicago Bridge & Iron (McDermott International),Panama/McDermott International,"$91,500 ","$24,500 ","$67,000 "
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$205,000 ","$79,000 ","$126,000 "
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$2,000 ",$0 ,"$2,000 "
Cirrus Aircraft Corp,China/Aviation Industry Corp of China,"$6,000 ","$2,000 ","$4,000 "
CMOC Mining USA (China Molybdenum Co),China/China Molybdenum Co,"$1,500 ",$0 ,"$1,500 "
Cobham Management Services,UK/Cobham PLC,"$176,500 ","$57,500 ","$119,000 "
Columbia Pipeline Group (TransCanada Corp),Canada/TransCanada Corp,$500 ,"$3,500 ","($3,000)"
Commonwealth-Altadis (Imperial Brands),UK/Imperial Tobacco Group,$0 ,$0 ,$0 
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$122,000 ","$47,500 ","$74,500 "
Covestro LLC (Covestro AG),Germany/Covestro AG,"$35,000 ","$9,500 ","$25,500 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$364,000 ","$187,500 ","$176,500 "
CRH Americas (CRH PLC),Ireland/CRH PLC,"$468,750 ","$149,000 ","$319,750 "
CSL Behring,Australia/CSL Ltd,"$83,500 ","$23,000 ","$60,500 "
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$75,500 ","$30,000 ","$45,500 "
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$4,000 ","$2,000 ","$2,000 "
Delhaize America,Belgium/Ahold Delhaize,"$20,750 ","$6,250 ","$12,000 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$16,500 ","$5,000 ","$11,500 "
DHL (Deutsche Post AG),Germany/Deutsche Post AG,$0 ,$0 ,$0 
Diageo North America (Diageo PLC),UK/Diageo PLC,"$58,085 ","$32,821 ","$25,264 "
Direct Energy Inc,UK/Centrica Plc,"$33,500 ","$9,000 ","$24,500 "
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$58,000 ","$9,000 ","$49,000 "
EDF Renewables (EDF Group),France/EDF Group,"$34,000 ","$11,500 ","$22,500 "
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$21,500 ","$8,500 ","$11,500 "
Eisai Inc,Japan/Eisai Co Ltd,"$29,000 ","$13,000 ","$16,000 "
Elbit Systems of America,Israel/Elbit Systems Ltd,"$79,500 ","$13,500 ","$66,000 "
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$48,000 ","$23,500 ","$24,500 "
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$37,500 ","$7,500 ","$30,000 "
EMD Serono Inc,Germany/Merck KGaA,"$169,000 ","$84,000 ","$85,000 "
Empire District Electric (Algonquin Power & Utilities),Canada/Algonquin Power & Utilities,"$4,500 ",$0 ,"$4,500 "
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,"$30,500 ","$7,500 ","$23,000 "
Enbridge Inc,Canada/Enbridge Inc,"$120,200 ","$21,500 ","$92,200 "
EnCana Oil & Gas USA,Canada/EnCana Corp,"$24,500 ","$7,000 ","$17,500 "
Endo Pharmaceuticals,Ireland/Endo International,"$88,500 ","$26,000 ","$62,500 "
ENGIE North America,France/ENGIE,"$4,500 ","$1,000 ","$2,500 "
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$12,500 ","$2,000 ","$10,500 "
Essent US Holdings,UK/Essent Group,"$6,000 ","$1,000 ","$5,000 "
Experian,UK/Experian,"$552,000 ","$186,500 ","$365,500 "
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$348,700 ","$103,000 ","$245,700 "
Fincantieri Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$19,500 ","$6,000 ","$13,500 "
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$79,000 ","$20,500 ","$58,500 "
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$8,780 ","$3,640 ","$5,140 "
FMC Technologies,UK/TechnipFMC plc,"($3,000)",$0 ,"($3,000)"
Framatome (EDF Group),France/EDF Group,"$50,500 ","$20,000 ","$30,500 "
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$323,000 ","$149,000 ","$174,000 "
G4S Secure Solutions,UK/G4S plc,"$15,000 ","$5,000 ","$10,000 "
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$37,400 ","$10,500 ","$26,900 "
GE Appliances,China/Haier Group,"$24,000 ","$4,500 ","$19,500 "
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$573,000 ","$232,000 ","$341,000 "
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0 ,$0 ,$0 
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$8,500 ","$5,000 ","$3,500 "
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$750 ,$0 ,$750 
GlaxoSmithKline,UK/GlaxoSmithKline,"$320,250 ","$138,500 ","$181,750 "
Glover Park Group (WPP plc),UK/WPP plc,"$143,200 ","$94,700 ","$48,000 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$12,500 ",$0 ,"$12,500 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$1,500 ",$0 ,"$1,500 "
Greyhound Lines,UK/FirstGroup PLC,"$17,500 ","$8,500 ","$9,000 "
Headwaters Inc,Australia/Boral Ltd,"$14,507 ",$1 ,"$14,506 "
Heineken USA,Netherlands/L'Arche Green NV,"$47,750 ","$21,250 ","$26,500 "
Herbalife International of America,UK/Herbalife Nutrition,"$149,219 ","$67,519 ","$81,700 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$55,500 ","$16,500 ","$39,000 "
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$106,000 ","$29,000 ","$77,000 "
Horizon Pharma USA,Ireland/Horizon Pharma PLC,"$81,200 ","$42,700 ","$38,500 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$1,000 ",$0 ,"$1,000 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$164,000 ","$76,500 ","$87,500 "
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$30,456 ","$7,500 ","$22,956 "
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$65,500 ","$29,000 ","$36,500 "
Infineon Technologies,Germany/Infineon Technologies AG,"$2,000 ","$1,000 ","$1,000 "
Ingersoll-Rand,Ireland/Ingersoll Rand Co,"$33,500 ","$13,100 ","$20,400 "
Intelsat US,Luxembourg/Intelsat Holdings,"$45,500 ","$17,500 ","$28,000 "
Intergraph Corp,Sweden/Hexagon AB,"$2,500 ",$0 ,"$2,500 "
ITG Brands (Imperial Brands),UK/Imperial Brands,"$165,500 ","$27,000 ","$138,500 "
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$12,000 ","$5,000 ","$7,000 "
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$263,489 ","$66,500 ","$196,989 "
JBS USA,Brazil/JBS SA,"$46,000 ","$2,000 ","$44,000 "
John Hancock Life Insurance,Canada/Manulife Financial,"$118,200 ","$62,000 ","$55,200 "
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$240,500 ","$121,000 ","$117,500 "
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$1,000 ",$0 ,"$1,000 "
Kawasaki Heavy Industries,Japan/Kawasaki Heavy Industries,$500 ,$0 ,$500 
Komatsu Mining,Japan/Komatsu Ltd,"$17,760 ","$1,000 ","$16,760 "
Lanxess Corp (Lanxess AG),Germany/Lanxess AG,$250 ,$0 ,$250 
Lehigh Hanson,Germany/HeidelbergCement AG,"$159,000 ","$13,500 ","$145,500 "
Leonardo DRS,Italy/Leonardo SpA,"$198,500 ","$60,000 ","$138,500 "
Lincare Holdings (Linde AG),Germany/Linde AG,"$3,000 ","$1,000 ","$2,000 "
Linde North America (Linde AG),Germany/Linde AG,"$109,000 ","$43,500 ","$65,500 "
Livanova Inc,UK/Livanova Plc,$0 ,$0 ,$0 
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$13,000 ",$0 ,"$13,000 "
LSEG US,UK/London Stock Exchange Group,"$16,500 ","$8,000 ","$8,500 "
Lundbeck Inc,Denmark/H Lundbeck A/S,"$71,500 ","$33,500 ","$38,000 "
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$116,000 ","$18,000 ","$98,000 "
M-E Companies,Canada/IBI Group,$0 ,$0 ,$0 
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$56,000 ","$25,500 ","$29,500 "
Magna US,Canada/Magna International,$0 ,$0 ,$0 
Magnolia LNG,Australia/LNG Limited,"$4,500 ",$0 ,"$4,500 "
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"$265,000 ","$105,000 ","$160,000 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$23,246 ","$10,246 ","$13,000 "
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$113,500 ","$34,500 ","$76,500 "
Maxar Technologies Holdings (Maxar Technologies),Canada/Maxar Technologies,"$7,000 ","$4,000 ","$3,000 "
MBDA Inc,UK/MBDA,"$6,000 ",$0 ,"$6,000 "
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,$0 ,$0 ,$0 
Medtronic Inc,Ireland/Medtronic Plc,"$293,000 ","$133,000 ","$159,000 "
MillerCoors LLC (Molson Coors Brewing),Canada/Molson Coors Brewing,"$163,000 ","$62,000 ","$101,000 "
Miraca Life Sciences,Japan/Miraca Holdings,$0 ,$0 ,$0 
Mitsubishi Hitachi Power Systems,Japan/Mitsubishi Hitachi Power Systems,"$23,400 ",$0 ,"$23,400 "
Monsanto Co (Bayer AG),Germany/Bayer AG,"$349,500 ","$114,500 ","$235,000 "
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,"$2,500 ","$2,500 ",$0 
Munich American Reassurance,Germany/Munich Re Group,$0 ,$0 ,$0 
Mylan Inc,Netherlands/Mylan NV,"$83,000 ","$33,500 ","$49,500 "
Nammo Talley Inc,Norway/Nammo AS,"$19,500 ","$4,500 ","$15,000 "
National Cement Co,France/Vicat Group,"$1,000 ",$0 ,"$1,000 "
National Grid USA (National Grid plc),UK/National Grid plc,"$61,500 ","$45,500 ","$16,000 "
Natixis Investment Managers,France/Groupe BPCE,"$18,500 ","$10,500 ","$8,000 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$23,750 ","$9,750 ","$14,000 "
Nomura Holding America,Japan/Nomura Holdings,"$113,500 ","$48,000 ","$65,500 "
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0 ,$0 ,$0 
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$293,000 ","$166,000 ","$127,000 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$405,938 ","$188,000 ","$217,938 "
Novocure Inc,UK/Novocure,"$52,200 ","$6,700 ","$45,500 "
Nutrien Ltd,Canada/Nutrien Ltd,"$8,000 ",$0 ,"$8,000 "
Orano USA (Orano Group),France/Orano Group,"$11,000 ","$2,500 ","$8,500 "
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$83,000 ","$45,000 ","$38,000 "
Permobil Inc (Investor AB),Sweden/Investor AB,"$8,500 ","$1,000 ","$7,500 "
Pernod Ricard USA,France/Pernod Ricard SA,"$23,700 ","$3,000 ","$20,700 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$1,500 ",$0 ,"$1,500 "
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$81,000 ","$41,000 ","$40,000 "
Philips Electronics North America (Philips),Netherlands/Philips,"$66,000 ","$33,000 ","$33,000 "
Prime Policy Group (WPP plc),UK/WPP plc,"$40,250 ","$15,750 ","$24,000 "
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$64,500 ","$17,700 ","$46,800 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$8,941 ",$0 ,"$8,941 "
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$59,500 ","$35,000 ","$24,500 "
Recurrent Energy,Canada/Canadian Solar,"$2,000 ","$1,000 ","$1,000 "
RELX Inc,UK/RELX Group,"$207,600 ","$98,500 ","$109,100 "
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$15,051 ","$1,000 ","$13,551 "
Resolute FP US,Canada/Resolute Forest Products,"$80,700 ","$12,200 ","$67,500 "
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$380,000 ","$34,000 ","$346,000 "
Rio Tinto America,UK/Rio Tinto Group,"$12,500 ","$4,500 ","$8,000 "
Roho Group (Investor AB),Sweden/Investor AB,$500 ,$500 ,$0 
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$303,500 ","$78,500 ","$225,000 "
Safelite Group,Belgium/D'Ieteren SA,"$5,700 ","$1,000 ","$4,700 "
Samsung Electronics America,South Korea/Samsung Group,"$143,000 ","$72,500 ","$70,500 "
Sanofi US (Sanofi),France/Sanofi,"$442,200 ","$208,700 ","$233,500 "
Santander Bank (Banco Santander),Spain/Banco Santander,"$24,500 ","$9,500 ","$15,000 "
SAP America,Germany/SAP SE,"$59,000 ","$40,000 ","$19,000 "
Schaeffler Group USA,Germany/Schaeffler Group,"$2,500 ",$0 ,"$2,500 "
Securitas Security Services USA,Sweden/Securitas AB,$0 ,$0 ,$0 
Serco Inc,UK/Serco Group,"$107,500 ","$40,500 ","$67,000 "
Shell Oil,Netherlands/Royal Dutch Shell,"$23,000 ","$3,500 ","$19,500 "
Shire Holdings US (Shire PLC),Ireland/Shire Plc,"$84,000 ","$47,000 ","$37,000 "
Siemens Corp,Germany/Siemens AG,"$189,250 ","$76,000 ","$113,250 "
Smith & Nephew,UK/Smith & Nephew Plc,"$78,000 ","$33,000 ","$45,000 "
Smithfield Foods,China/WH Group,"$60,000 ","$20,000 ","$40,000 "
Smiths Detection (Smiths Group),UK/Smiths Group PLC,$0 ,$0 ,$0 
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$134,700 ","$36,500 ","$98,200 "
Sodexo Inc,France/Sodexo,"($1,000)",$0 ,"($1,000)"
Solvay America,Belgium/Solvay SA,"$19,200 ","$8,000 ","$11,200 "
Sony Music Entertainment (Sony Corp),Japan/Sony Corp,"$1,000 ","$1,000 ",$0 
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$164,000 ","$85,000 ","$79,000 "
Sprint Communications (SoftBank Corp),Japan/Softbank Corp,"$184,000 ","$73,500 ","$110,500 "
SSAB Americas,Sweden/SSAB AB,"$13,600 ","$4,500 ","$9,100 "
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,"$10,000 ","$1,000 ","$7,500 "
Steris Corp,Ireland/Steris PLC,"$51,000 ","$16,500 ","$34,500 "
SUEZ Water,France/SUEZ Environnement,"$11,000 ","$10,000 ","$1,000 "
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$23,600 ","$8,900 ","$12,000 "
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$50,500 ","$26,000 ","$24,500 "
Sunpower Corp,France/Total SA,"$7,000 ","$2,000 ","$5,000 "
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$13,500 ","$2,500 ","$11,000 "
Swiss Re America,Switzerland/Swiss Reinsurance,"$44,000 ","$17,000 ","$27,000 "
Syngenta Corp,China/ChemChina,"$125,200 ","$47,500 ","$77,700 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$694,500 ","$314,000 ","$374,500 "
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$143,500 ","$77,500 ","$66,000 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$26,900 ","$7,000 ","$19,900 "
TD Bank USA,Canada/Toronto-Dominion Bank,"$197,500 ","$91,500 ","$101,000 "
TE Connectivity,Switzerland/TE Connectivity,"$94,000 ","$34,000 ","$60,000 "
TECO Energy,Canada/Emera Inc,"$37,500 ","$11,500 ","$26,000 "
Terumo BCT,Japan/Terumo Corp,$0 ,$0 ,$0 
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$45,500 ","$17,000 ","$28,500 "
Toyota Motor North America,Japan/Toyota Motor Corp,"$874,999 ","$378,000 ","$496,999 "
TransAmerica,Netherlands/Aegon NV,"$458,500 ","$226,500 ","$230,000 "
Transcanada USA Services (Transcanada Corp),Canada/TransCanada Corp,"$149,500 ","$51,500 ","$94,500 "
Travelport Inc,UK/Travelport Ltd,"$1,000 ",$0 ,"$1,000 "
UBS Americas,Switzerland/UBS AG,"$1,389,750 ","$645,750 ","$734,000 "
UCB Inc (UCB SA),Belgium/UCB SA,"$41,000 ","$6,000 ","$35,000 "
Ultra Electronics USA,UK/Ultra Electronics,"$59,000 ","$15,000 ","$44,000 "
Universal Music Group (Vivendi),France/Vivendi,"$114,494 ","$64,494 ","$50,000 "
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$16,000 ","$5,500 ","$10,500 "
VNA Holding (AB Volvo),Sweden/AB Volvo,"$16,000 ","$8,000 ","$8,000 "
VT Halter Marine,Singapore/ST Engineering,"$12,500 ",$0 ,"$12,500 "
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$21,000 ","$13,000 ","$8,000 "
Westfield Corp (Unibail-Rodamco-Westfield),Australia/Westfield Group of Australia,"$4,000 ","$1,500 ","$2,500 "
Westinghouse Electric (Brookfield Asset Management),Canada/Brookfield Asset Management,"$68,500 ","$25,000 ","$43,500 "
Wexler & Walker Public Policy Assoc (WPP plc),UK/WPP plc,"$43,000 ","$15,500 ","$27,500 "
WSP USA,Canada/WSP Global,"$151,724 ","$86,650 ","$65,074 "
XL America,France/AXA,$0 ,$0 ,$0 
ZF TRW Automotive (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,"$30,000 ","$14,000 ","$16,000 "
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$173,000 ","$92,500 ","$80,500 "
