PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Seven & I Holdings,"$5,500 ","$1,000 ","$4,500 "
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$10,500 ","$4,000 ","$6,500 "
Accenture (Accenture),Ireland/Accenture plc,"$177,000 ","$80,500 ","$96,500 "
Advance America Cash Advance Centers (Grupo Salinas),Mexico/Grupo Salinas,"$89,000 ","$9,000 ","$80,000 "
Air Liquide America,France/L'Air Liquide SA,"$49,512 ","$7,000 ","$42,512 "
Airbus Group,Netherlands/Airbus Group,"$191,500 ","$65,500 ","$126,000 "
Alkermes Inc,Ireland/Alkermes Plc,"$165,000 ","$65,500 ","$99,500 "
Allergan Inc (Allergan PLC),Ireland/Allergan PLC,"$157,500 ","$26,000 ","$131,500 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$89,750 ","$29,950 ","$59,800 "
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,"$2,000 ",$0 ,"$2,000 "
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$495,000 ","$241,000 ","$254,000 "
AON Corp (AON plc),UK/AON PLC,"$112,200 ","$39,500 ","$72,700 "
APL Ltd (CMA CGM),France/CMA CGM SA,"$7,500 ","$2,000 ","$5,500 "
APL Maritime (CMA CGM),France/CMA CGM SA,"$12,500 ","$6,000 ","$5,500 "
Aptiv PLC,Ireland/Aptiv PLC,"$5,000 ","$2,000 ","$3,000 "
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$250 ,$250 ,$0 
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$54,500 ","$25,500 ","$29,000 "
Arch Capital Group (US),UK/Arch Capital Group,"$11,500 ","$4,000 ","$7,500 "
Arkema Inc,France/Arkema,"$58,500 ","$26,000 ","$32,500 "
Ash Grove (CRH Plc),Ireland/CRH PLC,"$44,500 ",$0 ,"$44,500 "
Ashta Chemicals,Mexico/Bigshire Mexico,$0 ,$0 ,$0 
Ashton Woods Homes,Canada/Great Gulf Group,"$2,500 ",$0 ,"$2,500 "
Assured Guaranty Municipal Corp (Assured Guaranty Corp),UK/Assured Guaranty Ltd,"$2,700 ",$0 ,"$2,700 "
Astellas US,Japan/Astellas Pharma,"$185,700 ","$75,000 ","$110,700 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$358,500 ","$136,500 ","$222,000 "
Atkins North America,Canada/SNC-Lavalin,"$9,000 ",$0 ,"$9,000 "
Austal USA (Austal Ltd),Australia/Austal Ltd,"$45,600 ","$11,100 ","$34,500 "
