PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
EnCana Oil & Gas USA,Canada/EnCana Corp,$0 ,$0 ,$0 
Essroc Corp,Italy/Italcementi Group,"$9,500 ","$4,500 ","$5,000 "
Experian,UK/Experian,"$384,781 ","$139,000 ","$245,781 "
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$161,400 ","$45,000 ","$116,400 "
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$1,000 ","$1,000 ",$0 
Food Lion,Belgium/Delhaize Group,"$54,250 ","$24,000 ","$30,250 "
Foster Wheeler,Switzerland/Foster Wheeler PLC,"$2,500 ",$0 ,"$2,500 "
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$92,400 ","$68,700 ","$23,700 "
Gateway Inc,Taiwan/Acer Inc,$0 ,$0 ,$0 
GDF Suez Energy North America,France/GDF SUEZ,"$75,000 ","$36,500 ","$38,500 "
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$262,500 ","$186,000 ","$76,500 "
GKN Corp,UK/GKN PLC,"$3,000 ",$500 ,"$2,500 "
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$250 ,$0 ,$250 
GlaxoSmithKline,UK/GlaxoSmithKline,"$811,420 ","$328,870 ","$482,550 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$29,050 ","$18,700 ","$10,350 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$21,500 ","$13,500 ","$8,000 "
Greyhound Lines,UK/FirstGroup PLC,"$26,000 ","$16,500 ","$9,500 "
Hanson Building Products North America,Germany/Spohn Cement Gmbh,"$5,787 ","$3,787 ","$2,000 "
Heineken USA,Netherlands/L'Arche Green NV,"$56,500 ","$40,500 ","$16,000 "
Henkel Corp (Henkel KGaA),Germany/Henkel KGaA,"$14,000 ","$11,000 ","$3,000 "
Herbalife International of America,UK/Herbalife International,"$45,413 ","$27,414 ","$17,999 "
Hill & Knowlton (WPP Group),UK/WPP Group,"$5,000 ","$3,000 ","$2,000 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$309,500 ","$168,500 ","$141,000 "
