PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Seven & I Holdings,$0 ,$0 ,$0 
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$9,500 ","$7,000 ","$2,500 "
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$11,000 ","$1,000 ","$10,000 "
Accenture (Accenture),Ireland/Accenture plc,"$326,000 ","$124,500 ","$201,500 "
Advance America Cash Advance Centers (Grupo Salinas),Mexico/Grupo Salinas,"$82,050 ","$33,000 ","$49,050 "
Air Liquide America,France/L'Air Liquide SA,"$35,000 ","$9,500 ","$24,000 "
Airbus Group,Netherlands/Airbus Group,"$167,450 ","$31,500 ","$135,950 "
Alkermes Inc,Ireland/Alkermes Plc,"$121,700 ","$25,200 ","$96,500 "
Allergan Inc (Allergan PLC),Ireland/Allergan PLC,"$152,000 ","$29,000 ","$123,000 "
Allergan Inc (Allergan PLC),Ireland/Allergan PLC,"$37,596 ","$2,000 ","$35,596 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$86,600 ","$21,850 ","$64,750 "
Altice USA (Altice NV),Netherlands/Altice NV,"$62,900 ","$48,900 ","$14,000 "
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,$500 ,$0 ,$500 
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$575,574 ","$224,500 ","$351,074 "
AON Corp (AON plc),UK/AON PLC,"$127,200 ","$39,500 ","$87,700 "
APL Ltd (CMA CGM),France/CMA CGM SA,"$47,000 ","$23,500 ","$23,500 "
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,"$8,500 ","$1,000 ","$7,500 "
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$72,500 ","$29,000 ","$43,500 "
Arch Capital Group (US),UK/Arch Capital Group,"$5,500 ","$3,000 ","$2,500 "
AREVA Inc (AREVA Group),France/Areva Group,"$104,250 ","$26,750 ","$77,500 "
AREVA Inc/New Mexico (AREVA Group),France/Areva Group,$0 ,$0 ,$0 
Arkema Inc,France/Arkema,"$65,750 ","$24,750 ","$41,000 "
Ashta Chemicals,Mexico/Bigshire Mexico,"$2,700 ",$0 ,"$2,700 "
Ashton Woods Homes,Canada/Great Gulf Group,"$9,500 ","$2,000 ","$7,500 "
Astellas US,Japan/Astellas Pharma,"$244,000 ","$98,500 ","$145,500 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$527,500 ","$239,000 ","$288,500 "
Atkins North America,UK/WS Atkins PLC,$500 ,$0 ,$500 
Austal USA (Austal Ltd),Australia/Austal Ltd,"$27,000 ","$1,000 ","$26,000 "
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$106,700 ","$67,700 ","$36,500 "
AXA Equitable Life Insurance (AXA),France/AXA,"$194,000 ","$64,500 ","$129,500 "
Bacardi USA,UK/Bacardi Ltd,"$42,960 ","$12,000 ","$30,960 "
BAE Systems (BAE Systems),UK/BAE Systems,"$615,500 ","$237,000 ","$377,500 "
BancWest Corp (BNP Paribas),France/BNP Paribas,"$17,500 ","$2,500 ","$15,000 "
