PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Ciba Specialty Chemicals,Switzerland/Ciba Specialty Chemicals Holding,"$21,070 ","$5,070 ","$16,000 "
CIBC World Markets,Canada/Canadian Imperial Bank of Commerce,$0 ,$0 ,$0 
Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$39,800 ","$20,400 ","$19,400 "
Cooper Industries,Ireland/Cooper Industries Ltd,"$198,000 ",$0 ,"$193,000 "
Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch/Shell Group of Companies,$0 ,$0 ,$0 
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$379,250 ","$143,250 ","$236,000 "
DaimlerChrysler (DaimlerChrysler),Germany/DaimlerChrysler AG,"$440,100 ","$135,220 ","$304,880 "
Diageo North America,UK/Diageo PLC,"$39,500 ","$18,000 ","$21,500 "
Dial Corp,Germany/Henkel KGaA,"$28,500 ","$9,000 ","$19,500 "
DIRECTV Group (News Corporation),Australia/News Corp,"$9,000 ","$5,000 ","$4,000 "
Domnick Hunter Inc,UK/Domnick Hunter Group,"$1,500 ",$0 ,"$1,500 "
E ON US,Germany/Eon AG,"$19,500 ","$1,000 ","$18,500 "
EmCare Inc (Onex Corp),Canada/Onex Corp,$0 ,$0 ,$0 
Essroc Corp,Italy/Italcementi Group,"$7,900 ","$2,500 ","$5,400 "
Experian,UK/GUS plc,"$53,250 ","$17,000 ","$36,250 "
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$36,350 ","$3,500 ","$32,850 "
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,$0 ,$0 ,$0 
Food Lion,Belgium/Delhaize Group,"$36,150 ","$7,900 ","$28,250 "
Foster Wheeler,Switzerland/Foster Wheeler PLC,$0 ,$0 ,$0 
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$7,500 ","$3,000 ","$4,500 "
Gambro BCT (Gambro AB),Sweden/Gambro AB,"$4,500 ",$0 ,"$4,500 "
Gambro Healthcare (Gambro AB),Sweden/Gambro AB,"$43,500 ","$15,000 ","$28,500 "
Genentech Inc (Roche Holdings),Switzerland/Roche Group,"$157,750 ","$83,750 ","$74,000 "
GKN Corp,UK/GKN PLC,"$4,280 ",$0 ,"$4,280 "
GlaxoSmithKline,UK/GlaxoSmithKline,"$744,999 ","$224,496 ","$520,503 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$27,500 ","$12,750 ","$14,750 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$47,000 ","$5,000 ","$42,000 "
Greyhound Lines,Canada/Laidlaw,"$30,000 ","$14,000 ","$16,000 "
Heineken USA (Heineken NV),Netherlands/Heineken NV,"$26,000 ","$9,000 ","$17,000 "
Herbalife International of America,UK/Herbalife International,"$53,280 ","$22,780 ","$30,500 "
Hill & Knowlton (WPP Group),UK/WPP Group,"$15,000 ","$5,750 ","$9,250 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$89,000 ","$28,500 ","$60,500 "
Holcim US,Switzerland/Holcim Ltd,"$43,408 ","$12,608 ","$30,800 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$566,920 ","$214,171 ","$352,749 "
HSBC USA (HSBC Holdings),UK/HSBC Holdings,"$3,100 ","$3,000 ",$100 
Infineon Technologies,Germany/Infineon Technologies AG,"$10,950 ","$3,000 ","$7,950 "
ING US (ING Group),Netherlands/ING Group,"$77,500 ","$36,000 ","$41,500 "
Instinet Corp,UK/Reuters Group,"$41,500 ","$13,500 ","$28,000 "
JA Jones Construction,Germany/Philipp Holzmann AG,$0 ,$0 ,$0 
Jackson National Life Insurance,UK/Prudential PLC,"$40,350 ","$10,500 ","$29,850 "
John Hancock Financial Services,Canada/Manulife Financial,"$59,000 ","$38,000 ","$21,000 "
Kennecott Energy,UK/Rio Tinto PLC,"$76,200 ","$15,500 ","$59,700 "
LaFarge North America,France/Lafarge SA,"$56,000 ","$17,000 ","$39,000 "
LaSalle Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$108,750 ","$61,250 ","$47,500 "
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$4,000 ",$0 ,"$4,000 "
Lehigh Cement,Germany/HeidelbergCement AG,"$22,500 ","$3,000 ","$19,500 "
Lone Star Industries,Italy/Buzzi Unicem,"$2,500 ","$2,500 ",$0 
Loral Space & Communications,UK/Loral Space & Communications,"$82,000 ","$62,000 ","$20,000 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$57,675 ","$21,500 ","$36,175 "
Massachusetts Financial Services,Canada/Sun Life Financial Services,"$5,000 ","$3,000 ","$2,000 "
McDermott International (McDermott International),Panama/McDermott International,"$18,500 ","$6,500 ","$12,000 "
Miller Brewing,UK/SABMiller PLC,"$68,500 ","$29,000 ","$39,500 "
MONY Group (AXA),France/AXA,"$24,500 ","$7,500 ","$17,000 "
National Grid USA (National Grid plc),UK/National Grid plc,"$77,550 ","$30,750 ","$46,800 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$15,000 ","$3,000 ","$12,000 "
Nestle USA (Nestle SA),Switzerland/Nestle,"$40,250 ","$17,250 ","$23,000 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,$600 ,$0 ,$600 
News America Publishing (News Corporation),Australia/News Corp,"$210,500 ","$108,000 ","$102,500 "
Norwegian Cruise Line,Malaysia/Genting Group,$0 ,$0 ,$0 
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$232,428 ","$73,191 ","$159,237 "
Oldcastle Materials,Ireland/CRH PLC,"$280,107 ","$115,700 ","$164,407 "
Organon Inc,Netherlands/Akzo Nobel,$0 ,$0 ,$0 
PacifiCorp,UK/Scottish Power,"$6,500 ","$1,000 ","$5,500 "
Pennsylvania-American Water Co (RWE AG),Germany/RWE AG,$0 ,$0 ,$0 
Peter Pan Seafoods,Japan/Nichiro Corp,"$4,500 ",$250 ,"$4,250 "
Philips Electronics North America,Netherlands/Philips Electronics,"$59,710 ","$9,000 ","$50,710 "
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$12,250 ","$1,500 ","$10,750 "
RBC Centura Banks,Canada/Royal Bank of Canada,"$5,250 ","$1,250 ","$4,000 "
Reed Elsevier Inc,UK/Reed Elsevier Group,"$50,500 ","$13,500 ","$37,000 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce International,"$137,000 ","$40,000 ","$97,000 "
Roquette America,France/Roquette Freres,$0 ,$0 ,$0 
Sagem Morpho Inc,France/Sagem SA,"($9,050)","($9,050)",$0 
Sanofi-Pasteur Inc (Sanofi-Aventis),France/Sanofi-Aventis,"$105,300 ","$45,000 ","$60,300 "
SAP America,Germany/SAP AG,"$146,250 ","$56,500 ","$89,750 "
Schaeffler Group USA,Germany/Schaeffler Group,"$13,000 ","$6,000 ","$7,000 "
Securitas Security Services USA,Sweden/Securitas AB,"$9,000 ","$3,000 ","$6,000 "
Serono Inc,Switzerland/Serono SA,"$8,500 ","$6,000 ","$2,500 "
SES Americom (SES Global),Luxembourg/SES Global,"$14,500 ","$8,000 ","$6,500 "
Shaklee Corp (Yamanouchi Consumer),Japan/Yamanouchi Pharmaceutical,$0 ,$0 ,$0 
Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch-Shell,"$80,500 ","$13,000 ","$67,500 "
Siemens Corp (Siemens AG),Germany/Siemans AG,"$324,299 ","$133,799 ","$190,500 "
Smith & Nephew,UK/Smith & Nephew Plc,"$22,500 ","$5,000 ","$17,500 "
Sodexho Inc,France/Sodexho Alliance,"$29,750 ","$24,250 ","$5,500 "
Solvay Pharmaceuticals,Belgium/Solvay SA,"$21,000 ","$3,000 ","$18,000 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$225,500 ","$89,000 ","$136,500 "
Standard Federal Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$24,342 ","$9,342 ","$15,000 "
Swedish Match North America,Sweden/Swedish Match AB,"$32,212 ",($500),"$32,712 "
Syngenta Corp,Switzerland/Syngenta AG,"$73,200 ","$18,000 ","$55,200 "
Syntex (USA) Inc (Roche Holdings),Switzerland/Roche Holdings,$0 ,$0 ,$0 
T-Mobile USA,Germany/Deutsche Telekom AG,"$72,000 ","$38,500 ","$33,500 "
Teck Cominco American,Canada/Teck Cominco,"$8,000 ",$0 ,"$8,000 "
Timex Corp,Netherlands/Timex Group,$0 ,$0 ,$0 
TOTAL Petrochemicals (TOTAL SA),France/TOTAL SA,"$4,500 ",$500 ,"$4,000 "
Tractebel North America (SUEZ SA),France/SUEZ SA,"$27,500 ","$12,500 ","$15,000 "
Tyco International (Tyco International),Ireland/Tyco International,"$78,000 ","$15,000 ","$63,000 "
UBS Americas,Switzerland/UBS AG,"$452,100 ","$159,100 ","$288,000 "
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$8,500 ","$7,500 ","$1,000 "
United Water (SUEZ SA),France/SUEZ SA,"$13,000 ","$9,500 ","$3,500 "
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$13,000 ","$4,500 ","$8,500 "
USFilter Corp (Siemens AG),Germany/Siemens AG,"$19,500 ",$500 ,"$19,000 "
VT Halter Marine,Singapore/ST Engineering,"$9,000 ","$2,000 ","$7,000 "
Wackenhut Corp,Denmark/Group 4 Securicor,"$41,250 ","$12,250 ","$29,000 "
Westfield Corp,Australia/Westfield Group of Australia,"$33,205 ","$24,969 ","$6,998 "
Westinghouse Electric (BNFL PLC),UK/British Nuclear Fuels PLC,"$10,000 ","$2,500 ","$7,500 "
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$100,000 ","$30,500 ","$69,500 "
XL America,UK/XL Capital,"$3,000 ",$0 ,"$3,000 "
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$195,869 ","$59,000 ","$135,369 "
