PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Ito-Yokado,$750 ,$0 ,$750 
ABB Group,Switzerland/Asea Brown Boveri,"$16,500 ","$6,500 ","$10,000 "
Accenture,UK/Accenture plc,"$197,071 ","$54,124 ","$142,947 "
ACE INA,UK/ACE Ltd,"$169,900 ","$39,500 ","$130,400 "
AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$11,500 ",$500 ,"$11,000 "
AEGON USA,Netherlands/Aegon NV,"$174,500 ","$72,000 ","$102,500 "
AIM Management Group,UK/AMVESCAP,"$18,500 ","$5,000 ","$13,500 "
Air Liquide America,France/L'Air Liquide SA,"$12,925 ","$4,750 ","$8,175 "
Alcatel USA,France/Alcatel,"$12,500 ","$1,000 ","$11,500 "
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$32,220 ","$8,500 ","$23,720 "
Allfirst Financial,Ireland/Allied Irish Banks,$0 ,$0 ,$0 
Allianz of America (Allianz),Germany/Allianz AG Holding,"$116,750 ","$40,400 ","$76,350 "
Allied Domecq Spirits & Wine,UK/Allied Domecq,"$43,500 ","$12,000 ","$31,500 "
American Medical Response (Onex Corp),Canada/Onex Corp,$0 ,$0 ,$0 
American Water Works Co (RWE AG),Germany/RWE AG,"$1,000 ","$1,000 ",$0 
Anglogold Ashanti,South Africa/Anglogold Ashanti,"$6,500 ","$3,000 ","$3,500 "
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$16,500 ","$11,000 ","$5,500 "
Arcadis G&M,Netherlands/Arcadis NV,"$11,200 ","$1,200 ","$10,000 "
AREVA Inc,France/Areva Group,"$18,500 ","$2,000 ","$16,500 "
ASARCO LLC,Mexico/Nueva Grupo Mexico,$0 ,$0 ,$0 
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$219,130 ","$61,630 ","$157,500 "
ATOFINA Chemicals (TOTAL SA),France/TOTAL SA,"$22,000 ","$2,500 ","$19,500 "
Austin Nichols & Co,France/Pernod Ricard SA,"$5,500 ","$2,500 ","$3,000 "
Aventis Pharmaceuticals (Sanofi-Aventis),France/Sanofi-Aventis,"$109,265 ","$25,515 ","$83,750 "
AXA Equitable Life Insurance (AXA),France/AXA,"$145,500 ","$39,000 ","$106,500 "
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$26,000 ","$7,000 ","$19,000 "
Bacardi USA,UK/Bacardi Ltd,"$13,973 ","$4,000 ","$9,973 "
BAE Systems Information Technology (BAE Systems),UK/BAE Systems,$0 ,$0 ,$0 
BAE Systems North America (BAE Systems),UK/BAE Systems,"$302,150 ","$134,100 ","$168,050 "
Ballard Power Systems,Canada/Ballard Power Systems,"$5,000 ","$5,000 ",$0 
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$60,000 ","$14,000 ","$46,000 "
BASF Corp,Germany/BASF Group,"$92,000 ","$10,500 ","$81,500 "
Bayer Corp,Germany/Bayer AG,"$250,500 ","$59,000 ","$191,500 "
BNFL Inc (BNFL PLC),UK/British Nuclear Fuels PLC,"$23,500 ","$1,000 ","$22,500 "
BOC Group,UK/BOC Group,$0 ,$0 ,$0 
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$19,025 ","$4,500 ","$14,525 "
BP North America,UK/BP PLC,"$219,999 ","$83,500 ","$136,499 "
Bridgestone Americas,Japan/Bridgestone Corp,"$107,250 ","$34,000 ","$73,250 "
Budd Co,Germany/ThyssenKrupp AG,"$15,827 ","$3,000 ","$12,827 "
Burson-Marsteller (WPP Group),UK/WPP Group,"$78,250 ","$29,500 ","$46,250 "
Business Men's Assurance Co,Italy/Assicurazioni Generali,"$4,065 ",$0 ,"$4,065 "
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$5,500 ",$0 ,"$5,500 "
BWX Technologies (McDermott International),Panama/McDermott International,"$75,499 ","$15,500 ","$59,999 "
California Portland Cement Co,Japan/Taiheiyo Cement Co,"$18,650 ","$2,150 ","$16,500 "
Case New Holland,Italy/Fiat SPA,"$52,000 ","$5,500 ","$46,500 "
CGI-AMS,Canada/CGI Group,$0 ,$0 ,$0 
CGU Corp,UK/CGNU PLC,"$2,000 ","$2,000 ",$0 
