PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Joseph E Seagram & Sons (Diageo PLC),UK/Diageo PLC,"$26,300 ","$10,300 ","$16,000 "
Kennecott Energy,UK/Rio Tinto PLC,"$85,246 ","$21,000 ","$64,246 "
LaFarge North America (Lafarge SA),France/Lafarge SA,"$42,500 ","$15,000 ","$27,500 "
LaSalle Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$32,250 ","$18,000 ","$14,250 "
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$1,000 ",$500 ,$500 
Lehigh Cement,Germany/HeidelbergCement AG,"$16,250 ","$3,500 ","$12,750 "
Lone Star Industries,Germany/Dyckerfhoff,"$10,500 ","$4,000 ","$6,500 "
Loral Space & Communications,UK/Loral Space & Communications,"$96,600 ","$74,600 ","$22,000 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$53,500 ","$16,500 ","$37,000 "
Mallinckrodt Pharmaceuticals (Tyco International),Ireland/Tyco International,"$24,000 ","$9,000 ","$15,000 "
Massachusetts Financial Services,Canada/Sun Life Financial Services,"$1,000 ","$1,000 ",$0 
Master Builders Inc,Germany/E.ON AG,$0 ,$0 ,$0 
McDermott International (McDermott International),Panama/McDermott International,"$20,500 ","$4,500 ","$16,000 "
Michigan National Bank (ABN AMRO),Netherlands/ABN AMRO,$500 ,$0 ,$500 
Miller Brewing (SABMiller),UK/SABMiller PLC,"$4,000 ","$4,000 ",$0 
National Grid USA (National Grid plc),UK/National Grid plc,"$61,450 ","$33,500 ","$27,950 "
National Steel Corp,Japan/NKK Corp,$0 ,$0 ,$0 
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$26,500 ","$5,500 ","$21,000 "
Nestle USA (Nestle SA),Switzerland/Nestle,"$49,250 ","$15,000 ","$34,250 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$7,900 ","$3,000 ","$4,900 "
News America Publishing (News Corporation),Australia/News Corp,"$87,710 ","$48,000 ","$39,710 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$175,555 ","$43,250 ","$132,305 "
Oldcastle Materials,Ireland/CRH PLC,"$109,600 ","$57,300 ","$52,300 "
ONDEO Nalco (SUEZ SA),France/Suez Lyonnaise des Eaux,"$13,100 ","$3,000 ","$10,100 "
Oppenheimer Capital (Allianz),Germany/Allianz AG Holding,$0 ,$0 ,$0 
Organon Inc,Netherlands/Akzo Nobel,$0 ,$0 ,$0 
PacifiCorp,UK/Scottish Power,"$10,000 ","$2,500 ","$7,500 "
Pennsylvania-American Water Co (RWE AG),Germany/RWE AG,$0 ,$0 ,$0 
Peter Pan Seafoods,Japan/Nichiro Corp,"$3,850 ",$350 ,"$3,500 "
Philips Electronics North America,Netherlands/Philips Electronics,"$69,858 ","$10,100 ","$59,758 "
Pilkington North America,UK/Pilkington Group,"$2,500 ","$1,000 ","$1,500 "
Pinkerton Tobacco,Sweden/Swedish Match AB,"$40,495 ","$6,500 ","$33,995 "
RBC Centura Banks,Canada/Royal Bank of Canada,"$13,500 ","$5,750 ","$7,750 "
Reed Elsevier Inc,UK/Reed Elsevier Group,"$34,500 ","$14,500 ","$20,000 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce International,"$125,449 ","$42,750 ","$82,699 "
Roquette America,France/Roquette Freres,$125 ,$125 ,$0 
Sagem Morpho Inc,France/Sagem SA,"$7,500 ","$7,500 ",$0 
SAP America,Germany/SAP AG,"$20,100 ","$9,000 ","$11,100 "
Sensormatic Electronics (Tyco International),Ireland/Tyco International,"$2,328 ",$0 ,"$2,328 "
Serono Inc,Switzerland/Serono SA,"$7,000 ","$2,000 ","$5,000 "
SES Americom (SES Global),Luxembourg/SES Global,"$5,500 ","$3,000 ","$2,500 "
Shaklee Corp (Yamanouchi Consumer),Japan/Yamanouchi Pharmaceutical,"$1,000 ","$1,000 ",$0 
Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch-Shell,"$127,790 ","$31,290 ","$96,500 "
Siemens Corp (Siemens AG),Germany/Siemans AG,"$116,998 ","$31,999 ","$84,999 "
Siemens Dematic Postal Automation (Siemens AG),Germany/Siemens AG,"$2,500 ","$1,500 ","$1,000 "
Smith & Nephew,UK/Smith & Nephew Plc,"$19,000 ","$9,000 ","$10,000 "
Sodexho Inc,France/Sodexho Alliance,"$3,350 ","$2,250 ","$1,100 "
Solvay Pharmaceuticals,Belgium/Solvay SA,$0 ,$0 ,$0 
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$128,500 ","$73,500 ","$55,000 "
Standard Federal Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$13,100 ","$3,250 ","$9,850 "
Syngenta Corp,Switzerland/Syngenta AG,"$34,500 ","$14,000 ","$20,500 "
Syntex (USA) Inc (Roche Holdings),Switzerland/Roche Holdings,"$10,000 ","$8,000 ","$2,000 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$87,000 ","$50,000 ","$37,000 "
Teck Cominco American,Canada/Teck Cominco,"$3,000 ","$1,000 ","$2,000 "
Timex Corp,Netherlands/Timex Group,$0 ,$0 ,$0 
Tractebel (Tractebel),Belgium/Tractabel,$0 ,$0 ,$0 
Tractebel North America (Tractebel),Belgium/Tractabel,"$1,000 ",$0 ,"$1,000 "
TransAmerica (Aegon NV),Netherlands/Aegon NV,$0 ,$0 ,$0 
UBS Americas,Switzerland/UBS AG,"$111,400 ","$58,400 ","$52,000 "
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$13,500 ","$3,500 ","$10,000 "
United Water Resources (SUEZ SA),France/SUEZ SA,"$18,150 ","$14,650 ","$3,500 "
Universal Studios (Vivendi Universal),France/Vivendi Universal,"$136,500 ","$65,500 ","$71,000 "
US Surgical Corp (Tyco International),Ireland/Tyco International,$0 ,$0 ,$0 
Wackenhut Corp (Group 4 Falck),Denmark/Group 4 Falck,"$20,250 ","$4,250 ","$16,000 "
Wackenhut Corp (Group 4 Falck),Denmark/Group 4 Falck,$0 ,$0 ,$0 
Westfield Corp,Australia/Westfield Group of Australia,"$23,619 ","$21,619 ","$2,000 "
Westinghouse Electric (BNFL PLC),UK/British Nuclear Fuels PLC,"$5,250 ",$500 ,"$4,750 "
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$93,500 ","$34,000 ","$59,500 "
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$98,182 ","$32,000 ","$66,182 "
