PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Ito-Yokado,"$7,070 ","$2,528 ","$4,542 "
ABB Group,Switzerland/Asea Brown Boveri,"$34,500 ","$18,750 ","$15,750 "
Accenture,UK/Accenture plc,"$220,947 ","$94,242 ","$126,705 "
ACE INA,UK/ACE Group,"$77,250 ","$31,500 ","$45,750 "
Acuson Corp (Siemens AG),Germany/Siemens AG,$0 ,$0 ,$0 
AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$28,500 ","$12,500 ","$16,000 "
AEGON USA (AEGON NV),Netherlands/Aegon NV,"$164,500 ","$73,500 ","$91,000 "
AIM Management Group,UK/AMVESCAP,"$24,500 ","$8,500 ","$16,000 "
Air Liquide America,France/L'Air Liquide SA,"$2,650 ","$2,000 ",$650 
Alcatel USA,France/Alcatel,"$13,750 ","$4,500 ","$9,250 "
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$2,000 ","$1,000 ","$1,000 "
Allfirst Financial,Ireland/Allied Irish Banks,"$6,320 ","$3,820 ","$2,500 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$60,750 ","$19,100 ","$41,650 "
Allied Domecq Spirits & Wine,UK/Allied Domecq,"$32,250 ","$6,000 ","$26,250 "
American Water Works Co (RWE AG),Germany/RWE AG,"$32,900 ","$12,850 ","$20,050 "
AMP Inc (Tyco International),Ireland/Tyco International,$0 ,$0 ,$0 
Anglogold Ltd,UK/Anglo American PLC,"$11,850 ","$3,000 ","$8,850 "
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$15,360 ","$5,250 ","$10,110 "
Aqua-Chem Inc,France/Lyonnaise des Eaux-Dumez Group,$0 ,$0 ,$0 
ASARCO LLC,Mexico/Nueva Grupo Mexico,"$2,000 ",$0 ,"$2,000 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$125,800 ","$38,050 ","$87,750 "
ATOFINA Chemicals (TotalFinaElf),France/TOTAL FINA ELF,"$26,600 ","$7,100 ","$19,500 "
ATOFINA Petrochemicals (TotalFinaElf),France/TotalFinaElf,"$2,500 ","$1,000 ","$1,500 "
Austin Nichols & Co,France/Pernod Ricard SA,$0 ,$0 ,$0 
Aventis Pasteur USA (Aventis),France/Aventis,"$137,040 ","$75,790 ","$61,250 "
Aventis Pharmaceuticals (Aventis),France/Aventis,"$116,000 ","$24,500 ","$91,500 "
Aventis Pharmaceuticals Products (Aventis),France/Aventis,"$15,267 ",$0 ,"$15,267 "
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$30,500 ","$10,000 ","$20,500 "
Bacardi USA,UK/Bacardi Ltd,$0 ,$0 ,$0 
BAE Systems North America (BAE Systems),UK/BAE Systems,"$390,276 ","$149,028 ","$241,248 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$75,000 ","$33,500 ","$41,500 "
BASF Corp,Germany/BASF Group,"$204,500 ","$41,500 ","$163,000 "
Bayer Corp (Bayer AG),Germany/Bayer AG,"$260,500 ","$73,000 ","$187,500 "
Bayer CropScience (Bayer AG),Germany/Bayer AG,"$36,000 ","$15,500 ","$20,500 "
Bear Creek Corp (Yamanouchi Consumer),Japan/Yamanouchi Consumer,"$10,150 ","$5,050 ","$5,100 "
BHP Holdings,Australia/BHP Billiton,"$1,023 ",$400 ,$623 
Bird-Johnson Co (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$3,000 ",$500 ,"$2,500 "
Blue Circle America (Lafarge SA),France/Lafarge SA,"$8,500 ","$1,000 ","$7,500 "
BOC Group,UK/BOC Group,$0 ,$0 ,$0 
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$24,000 ","$10,500 ","$13,500 "
BP North America,UK/BP PLC,"$175,000 ","$65,750 ","$109,250 "
Bridgestone Americas,Japan/Bridgestone Corp,"$60,200 ","$24,200 ","$36,000 "
Brown & Williamson Tobacco,UK/British American Tobacco,"$242,324 ","$44,000 ","$198,324 "
Budd Co,Germany/ThyssenKrupp AG,"$1,000 ","$1,000 ",$0 
Burns International Services (Securitas AB),Sweden/Securitas AB,$0 ,$0 ,$0 
Burson-Marsteller (WPP Group),UK/WPP Group,"$91,540 ","$38,040 ","$52,500 "
Business Men's Assurance Co,Italy/Assicurazioni Generali,"$2,500 ","$1,500 ","$1,000 "
BWX Technologies (McDermott International),Panama/McDermott International,"$38,650 ","$10,050 ","$28,600 "
Cable & Wireless USA,UK/Cable & Wireless PLC,"$52,100 ","$24,000 ","$28,100 "
Case New Holland,Italy/Fiat SPA,"$46,500 ","$4,500 ","$42,000 "
Celanese Americas Corp,Germany/Celanese AG,"$74,500 ","$22,500 ","$52,000 "
Central Soya Co,France/Cereol,"$11,300 ","$2,000 ","$9,300 "
CGU Corp,UK/CGNU PLC,$0 ,$0 ,$0 
Ciba Specialty Chemicals,Switzerland/Ciba Specialty Chemicals Holding,"$29,500 ","$7,500 ","$22,000 "
CIBC Oppenheimer,Canada/Canadian Imperial Bank of Commerce,$0 ,$0 ,$0 
Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$7,250 ","$6,250 ","$1,000 "
Cooper Industries,Ireland/Cooper Industries Ltd,"$187,500 ",$0 ,"$187,500 "
Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch Shell,$0 ,$0 ,$0 
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$298,312 ","$135,812 ","$162,500 "
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,$0 ,$0 ,$0 
DaimlerChrysler (DaimlerChrysler),Germany/DaimlerChrysler AG,"$483,090 ","$196,590 ","$286,500 "
Diageo North America (Diageo PLC),UK/Diageo PLC,"$61,000 ","$24,000 ","$37,000 "
E ON US,Germany/Eon AG,"$4,850 ",$500 ,"$4,350 "
Equitable Life Assurance Society (AXA),France/AXA,"$104,500 ","$39,500 ","$65,000 "
Essroc Corp,Italy/Italcementi Group,"$2,600 ","$1,500 ","$1,100 "
Experian (GUS plc),UK/GUS plc,"$1,000 ",$0 ,"$1,000 "
Experian (GUS Plc),UK/GUS plc,$0 ,$0 ,$0 
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$36,650 ","$7,300 ","$29,350 "
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$5,200 ","$5,200 ",$0 
Food Lion,Belgium/Delhaize Group,"$37,750 ","$10,000 ","$27,750 "
Fortis Inc,Belgium/Fortis AG,"$79,000 ","$21,000 ","$58,000 "
Foster Wheeler,Switzerland/Foster Wheeler PLC,"$8,800 ","$1,000 ","$7,800 "
Gambro Healthcare,Sweden/Gambro AB,"$4,000 ",$0 ,"$4,000 "
Genentech Inc (Roche Holdings),Switzerland/Roche Group,"$128,250 ","$71,500 ","$56,750 "
Getronics Government Solutions (BAE Systems),UK/BAE Systems,"$1,000 ","$1,000 ",$0 
GKN Corp,UK/GKN PLC,$630 ,$0 ,$630 
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$769,042 ","$193,923 ","$575,119 "
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"($4,000)",($500),"($3,500)"
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$21,825 ","$12,675 ","$9,150 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$35,550 ","$4,050 ","$31,500 "
Greyhound Lines,Canada/Laidlaw,"$39,500 ","$24,500 ","$15,000 "
Heineken USA (Heineken NV),Netherlands/Heineken NV,"$12,000 ","$8,000 ","$4,000 "
Hill & Knowlton (WPP Group),UK/WPP Group,"$30,000 ","$17,500 ","$12,500 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$101,800 ","$60,300 ","$41,500 "
Holcim US,Switzerland/Holcim Ltd,"$71,838 ","$24,213 ","$47,625 "
HSBC USA,UK/HSBC Holdings,"$5,330 ","$3,000 ","$2,330 "
ING US (ING Group),Netherlands/ING Group,"$149,395 ","$52,000 ","$97,395 "
Instinet Corp,UK/Reuters Group,"$67,500 ","$23,500 ","$44,000 "
JA Jones Construction (Philipp Holzmann AG),Germany/Philipp Holzmann AG,"$2,900 ","$1,400 ","$1,500 "
Jackson National Life Insurance,UK/Prudential PLC,"$71,821 ","$21,000 ","$50,821 "
