PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Accenture (Accenture),Ireland/Accenture plc,"$3,000 ",$0 ,"$3,000 "
Acreage Holdings,Canada/Acreage Holdings,$0 ,$0 ,$0 
Air Liquide America,France/L'Air Liquide SA,"$17,300 ","$14,800 ","$2,500 "
Airbus Group,Netherlands/Airbus Group,"$193,500 ","$82,500 ","$111,000 "
Alexion Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$186,250 ","$104,000 ","$82,250 "
Alkermes Inc,Ireland/Alkermes Plc,"$84,500 ","$34,500 ","$50,000 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$31,500 ","$20,500 ","$11,000 "
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,"$2,525 ",$0 ,"$2,525 "
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$457,500 ","$218,000 ","$239,500 "
AON Corp (AON plc),UK/AON PLC,"$98,500 ","$52,000 ","$46,500 "
APL Maritime (CMA CGM),France/CMA CGM SA,"$19,000 ","$8,000 ","$11,000 "
Aptiv PLC,Ireland/Aptiv PLC,"$10,350 ","$5,350 ","$5,000 "
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,"$1,000 ",$0 ,"$1,000 "
ArcelorMittal,Luxembourg/ArcelorMittal,"$21,500 ","$14,000 ","$7,500 "
Arch Capital Group (US),UK/Arch Capital Group,"$8,500 ","$5,500 ","$3,000 "
Arkema Inc,France/Arkema,"$51,500 ","$27,000 ","$24,500 "
Ashton Woods Homes,Canada/Great Gulf Group,"$2,500 ",$0 ,"$2,500 "
Assured Guaranty Municipal Corp (Assured Guaranty Corp),UK/Assured Guaranty Ltd,"$112,100 ","$55,500 ","$56,600 "
Astellas US,Japan/Astellas Pharma,"$145,500 ","$63,500 ","$82,000 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$310,750 ","$128,500 ","$182,250 "
Atkins North America,Canada/SNC-Lavalin,"$18,000 ","$5,000 ","$13,000 "
Austal USA,Australia/Austal Ltd,"$50,200 ","$5,000 ","$45,200 "
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$155,000 ","$103,000 ","$52,000 "
Bacardi USA,UK/Bacardi Ltd,"$46,200 ","$19,500 ","$25,700 "
BAE Systems (BAE Systems),UK/BAE Systems,"$739,500 ","$320,000 ","$419,500 "
Barclays Group US,UK/Barclays plc,"$123,000 ","$49,500 ","$73,500 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$14,500 ","$11,000 ","$3,500 "
BASF Corp,Germany/BASF SE,"$412,000 ","$222,000 ","$190,000 "
Bayer Corp (Bayer AG),Germany/Bayer AG,"$209,500 ","$117,500 ","$92,000 "
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$46,000 ","$26,000 ","$20,000 "
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0 ,$0 ,$0 
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$193,000 ","$101,000 ","$92,000 "
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$182,900 ","$86,900 ","$96,000 "
Bombardier Aerospace (Bombardier Inc),Canada/Bombardier Inc,"$36,500 ","$16,500 ","$20,000 "
BP North America,UK/BP PLC,"($2,000)",$0 ,"($2,000)"
Bridgestone Americas,Japan/Bridgestone Corp,"$29,500 ","$15,000 ","$14,500 "
Brookfield Properties Retail (Brookfield Asset Management),Canada/Brookfield Asset Management,"$6,000 ","$6,000 ",$0 
Bumble Bee Foods (FCF Co),Taiwan/FCF Co,"$6,000 ","$6,000 ",$0 
CAE USA,Canada/CAE Inc,"$11,000 ","$6,000 ","$5,000 "
CalPortland Co,Japan/Taiheiyo Cement Co,"$214,000 ","$13,000 ","$201,000 "
Canopy Growth USA,Canada/Canopy Growth Corp,"$22,500 ","$11,000 ","$11,500 "
Carmeuse Lime,Netherlands/Carmeuse SA,"$1,000 ",$0 ,"$1,000 "
Case New Holland,Netherlands/CNH Industrial,"$101,000 ","$5,000 ","$96,000 "
CEMEX Inc,Mexico/CEMEX SAB de CV,"$42,500 ","$16,500 ","$26,000 "
CGI Technologies & Solutions,Canada/CGI Group,"$48,000 ","$40,000 ","$8,000 "
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$98,000 ","$51,500 ","$46,500 "
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$2,000 ","$2,000 ",$0 
Cirrus Aircraft Corp,China/Aviation Industry Corp of China,$0 ,$0 ,$0 
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$59,000 ","$31,000 ","$28,000 "
Covestro LLC (Covestro AG),Germany/Covestro AG,"$14,000 ","$9,500 ","$4,500 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$55,000 ","$25,000 ","$30,000 "
CRH Americas (CRH PLC),Ireland/CRH PLC,"$549,600 ","$208,500 ","$341,100 "
Cronos USA,Canada/Cronos Group,"$33,000 ","$21,000 ","$12,000 "
CSL Behring,Australia/CSL Ltd,"$55,100 ","$32,700 ","$22,400 "
Cumberland Farms (EG Group),UK/EG Group,"$2,900 ",$0 ,"$2,900 "
Delhaize America,Belgium/Ahold Delhaize,"$43,500 ","$19,000 ","$24,500 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0 ,$0 ,$0 
Diageo North America (Diageo PLC),UK/Diageo PLC,"$17,575 ","$12,575 ","$5,000 "
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$52,353 ","$24,500 ","$27,853 "
EDF Renewables (EDF Group),France/EDF Group,"$38,000 ","$32,500 ","$5,500 "
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$22,000 ","$20,500 ","$1,500 "
Eisai Inc,Japan/Eisai Co Ltd,"$23,100 ","$11,300 ","$11,800 "
Elbit Systems of America,Israel/Elbit Systems Ltd,"$63,000 ","$16,500 ","$46,500 "
Electrolux Home Products,Sweden/AB Electrolux,"$4,500 ","$1,500 ","$3,000 "
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$88,100 ","$41,500 ","$46,600 "
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$61,000 ","$18,500 ","$42,500 "
EMD Serono Inc,Germany/Merck KGaA,"$149,500 ","$80,000 ","$69,500 "
Empire District Electric (Algonquin Power & Utilities),Canada/Algonquin Power & Utilities,"($1,000)","($1,000)",$0 
