PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,"$45,500 ","$18,500 ","$27,000 "
Enbridge Inc,Canada/Enbridge Inc,"$84,500 ","$23,500 ","$61,000 "
Endo Pharmaceuticals,Ireland/Endo International,$0 ,$0 ,$0 
ENGIE North America,France/ENGIE,"$21,500 ","$17,500 ","$4,000 "
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$117,500 ","$59,500 ","$58,000 "
Essent US Holdings,UK/Essent Group,"$10,500 ","$2,500 ","$8,000 "
Experian,UK/Experian,"$554,500 ","$256,500 ","$298,000 "
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$262,000 ","$139,000 ","$123,000 "
FGS Global (WPP plc),UK/WPP plc,"$124,250 ","$71,500 ","$52,750 "
Fincantieri Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$19,500 ","$11,000 ","$8,500 "
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$62,000 ","$20,500 ","$41,500 "
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$2,150 ","$1,850 ",$300 
Framatome (EDF Group),France/EDF Group,"$32,000 ","$15,000 ","$17,000 "
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$405,500 ","$180,000 ","$225,500 "
G4S Secure Solutions,UK/G4S plc,"$2,900 ","$2,900 ",$0 
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$117,000 ","$39,500 ","$77,500 "
GE Appliances,China/Haier Group,"$23,000 ","$5,000 ","$18,000 "
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$295,000 ","$154,500 ","$140,500 "
General Cigar Co,Sweden/Scandinavian Tobacco Group,$500 ,$0 ,$500 
Genesee & Wyoming (Brookfield Asset Management),Canada/Brookfield Asset Management,"$72,566 ","$27,164 ","$45,402 "
GenesisCare USA,Australia/GenesisCare,"$17,000 ","$9,500 ","$7,500 "
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$14,000 ","$6,000 ","$8,000 "
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$0 ,$0 ,$0 
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$22,000 ","$7,000 ","$15,000 "
Greyhound Lines (FlixBus Inc),Germany/Flixbus Inc,"$10,500 ","$6,000 ","$4,500 "
GSK plc,UK/GlaxoSmithKline,"$205,000 ","$54,000 ","$151,000 "
Haleon plc,UK/Haleon plc,"$2,500 ",$0 ,"$2,500 "
Hannover Life Reassurance Co,Germany/Hannover Re,"$17,500 ","$10,000 ","$7,500 "
Hatch LTK (Hatch Ltd),Canada/Hatch Ltd,"$5,800 ","$5,800 ",$0 
Headwaters Inc,Australia/Boral Ltd,"$10,500 ","$1,000 ","$9,500 "
Heineken USA,Netherlands/L'Arche Green NV,"$26,000 ","$14,000 ","$12,000 "
Herbalife International of America,UK/Herbalife Nutrition,"$85,500 ","$35,500 ","$50,000 "
Holcim US (Holcim Group),Switzerland/Holcim Group,"$37,000 ","$22,000 ","$15,000 "
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$149,000 ","$89,000 ","$60,000 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$34,500 ","$11,000 ","$23,500 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$61,000 ","$36,500 ","$24,500 "
IBI Group Engineering Services (Arcadis NV),Netherlands/Arcadis NV,$150 ,$0 ,$150 
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$29,900 ","$6,000 ","$23,900 "
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$42,900 ","$32,900 ","$10,000 "
Infineon Technologies,Germany/Infineon Technologies AG,"$20,000 ","$12,500 ","$7,500 "
Intelsat US,Luxembourg/Intelsat Holdings,"$49,000 ","$25,500 ","$23,500 "
Intergraph Corp,Sweden/Hexagon AB,"$2,900 ",$0 ,"$2,900 "
Ipsen Biopharmaceuticals,France/Ipsen SA,"$40,000 ","$22,500 ","$17,500 "
ITG Brands (Imperial Brands),UK/Imperial Brands,"$14,000 ","$5,500 ","$8,500 "
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$169,198 ","$50,998 ","$118,200 "
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$87,000 ","$50,000 ","$37,000 "
JBS USA,Brazil/JBS SA,"$18,500 ","$7,000 ","$11,500 "
John Hancock Life Insurance,Canada/Manulife Financial,"$94,500 ","$58,500 ","$36,000 "
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$211,500 ","$117,500 ","$94,000 "
Komatsu Mining,Japan/Komatsu Ltd,"$20,599 ","$9,500 ","$11,099 "
Lanxess Corp (Lanxess AG),Germany/Lanxess AG,$0 ,$0 ,$0 
Lehigh Hanson,Germany/HeidelbergCement AG,"$102,000 ","$22,500 ","$79,500 "
Leonardo DRS,Italy/Leonardo SpA,"$204,000 ","$76,500 ","$127,500 "
Liberty Utilities (Algonquin Power & Utilities),Canada/Algonquin Power & Utilities,$0 ,$0 ,$0 
Lincare Holdings (Linde plc),UK/Linde plc,"$23,500 ","$6,000 ","$17,500 "
Linde plc (Linde plc),UK/Linde Plc,"$11,000 ","$11,000 ",$0 
Livanova USA,UK/Livanova Plc,"$6,000 ","$4,000 ","$2,000 "
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$2,000 ",$0 ,"$2,000 "
LSEG US,UK/London Stock Exchange Group,"$2,000 ","$2,000 ",$0 
Lundbeck Inc,Denmark/H Lundbeck A/S,"$127,400 ","$72,400 ","$55,000 "
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$95,000 ","$41,500 ","$53,500 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$60,500 ","$29,500 ","$31,000 "
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,$500 ,"$4,500 ","($4,000)"
MBDA Inc,UK/MBDA,"$1,000 ",$0 ,"$1,000 "
Medtronic Inc,Ireland/Medtronic Plc,"$225,000 ","$119,000 ","$106,000 "
Mercedes-Benz USA (Mercedes-Benz Group),Germany/Mercedes-Benz Group,"$3,500 ",$0 ,"$3,500 "
Messer North America,Germany/Messer Group,"$28,500 ","$12,000 ","$16,500 "
Mitsubishi Power (Mitsubishi Heavy Industries),Japan/Mitsubishi Heavy Industries,"$1,000 ",$0 ,"$1,000 "
Molson Coors Beverage Co (Molson Coors Brewing),Canada/Molson Coors Brewing,"$77,500 ","$23,000 ","$54,500 "
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,$0 ,$0 ,$0 
Munich American Reassurance,Germany/Munich Re Group,"$12,500 ","$5,000 ","$7,500 "
Nammo Inc (Nammo AS),Norway/Nammo AS,"$9,000 ","$2,000 ","$7,000 "
National Grid USA (National Grid plc),UK/National Grid plc,"$58,500 ","$49,500 ","$9,000 "
Navistar International (Volkswagen AG),Germany/Volkswagen Group,"$3,500 ","$2,500 ","$1,000 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,$0 ,$0 ,$0 
Nomura Holding America,Japan/Nomura Holdings,"$49,500 ","$19,500 ","$30,000 "
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0 ,$0 ,$0 
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$281,500 ","$159,500 ","$122,000 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$288,250 ","$147,250 ","$141,000 "
Novocure Inc,UK/Novocure,"$94,500 ","$46,000 ","$48,500 "
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$46,500 ","$15,000 ","$31,500 "
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$125,500 ","$71,500 ","$54,000 "
Permobil Inc (Investor AB),Sweden/Investor AB,"$1,000 ","$1,000 ",$0 
Pernod Ricard USA,France/Pernod Ricard SA,"$27,000 ","$13,500 ","$13,500 "
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$94,500 ","$50,000 ","$44,500 "
Philips Electronics North America (Philips),Netherlands/Philips,"$119,750 ","$54,250 ","$65,500 "
Prime Policy Group (WPP plc),UK/WPP plc,"$42,750 ","$24,500 ","$18,250 "
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$177,000 ","$46,500 ","$130,500 "
Purpose Financial (Grupo Salinas),Mexico/Grupo Salinas,"$46,500 ","$18,500 ","$28,000 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$11,500 ","$5,500 ","$6,000 "
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$91,500 ","$45,000 ","$46,500 "
Recurrent Energy,Canada/Canadian Solar,"$13,900 ","$9,900 ","$4,000 "
RELX Inc,UK/RELX Group,"$94,500 ","$58,500 ","$36,000 "
Resolute FP US,Canada/Resolute Forest Products,"$75,500 ","$5,500 ","$70,000 "
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$242,100 ","$63,600 ","$178,500 "
Rio Tinto America,UK/Rio Tinto Group,"$33,500 ","$14,500 ","$19,000 "
Roche Diagnostics (Roche Holdings),Switzerland/Roche Holdings,"$103,000 ","$50,000 ","$53,000 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$234,000 ","$87,000 ","$147,000 "
Saab North America,Sweden/Saab AB,"$4,500 ","$2,500 ","$2,000 "
Sabic Innovative Plastics,Saudi Arabia/SABIC,"$7,000 ","$6,000 ","$1,000 "
Safelite Group,Belgium/D'Ieteren SA,"$3,500 ","$3,500 ",$0 
Samsung Electronics America,South Korea/Samsung Group,"$394,000 ","$214,500 ","$179,500 "
Sanofi US (Sanofi),France/Sanofi,"$233,000 ","$122,500 ","$110,500 "
Santander Bank (Banco Santander),Spain/Banco Santander,"$86,500 ","$54,000 ","$32,500 "
SAP America,Germany/SAP SE,"$88,500 ","$43,500 ","$45,000 "
Schwan's Co,South Korea/CJ CheilJedang,"$162,500 ","$49,000 ","$113,500 "
Securitas Security Services USA,Sweden/Securitas AB,$0 ,$0 ,$0 
Serco Inc,UK/Serco Group,"$117,500 ","$69,000 ","$48,500 "
Shell USA,UK/Shell plc,"$5,000 ",$0 ,"$5,000 "
Siemens Corp (Siemens AG),Germany/Siemens AG,"$184,000 ","$101,500 ","$82,500 "
Smith & Nephew,UK/Smith & Nephew Plc,"$96,000 ","$56,500 ","$39,500 "
Smithfield Foods,China/WH Group,"$41,000 ","$19,000 ","$22,000 "
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$33,500 ","$16,500 ","$17,000 "
Sodexo Inc,France/Sodexo,"$2,900 ","$2,900 ",$0 
Solvay America,Belgium/Solvay SA,"$65,000 ","$35,500 ","$29,500 "
Sony Music Entertainment (Sony Corp),Japan/Sony Corp,"$32,500 ","$19,500 ","$13,000 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$42,500 ","$26,000 ","$16,500 "
Spark Therapeutics (Roche Holdings),Switzerland/Roche Holdings,"$8,500 ","$6,500 ","$2,000 "
SSAB Americas,Sweden/SSAB AB,"$31,500 ","$9,000 ","$22,500 "
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,"$4,500 ","$2,000 ","$2,500 "
Steris Corp,Ireland/Steris PLC,"$65,000 ","$27,500 ","$37,500 "
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$132,000 ","$75,000 ","$57,000 "
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$107,200 ","$51,900 ","$55,300 "
Sunpower Corp,France/TotalEnergies,"$32,000 ","$28,500 ","$3,500 "
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$5,000 ",$0 ,"$5,000 "
Swiss Re America,Switzerland/Swiss Reinsurance,$0 ,$0 ,$0 
Syngenta Corp,China/ChemChina,"$207,000 ","$56,000 ","$151,000 "
Tabacalera USA (Imperial Brands),UK/Imperial Brands,"$4,321 ","$2,300 ","$2,021 "
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$207,500 ","$119,000 ","$88,500 "
TD Bank USA,Canada/Toronto-Dominion Bank,"$259,500 ","$144,500 ","$114,000 "
TE Connectivity,Switzerland/TE Connectivity,"$92,000 ","$39,500 ","$52,500 "
TECO Energy,Canada/Emera Inc,"$37,000 ","$4,500 ","$32,500 "
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$72,400 ","$34,500 ","$37,900 "
Toyota Motor North America,Japan/Toyota Motor Corp,"$1,053,977 ","$538,097 ","$515,880 "
Trane Technologies,Ireland/Trane Technologies,"$26,300 ","$3,300 ","$23,000 "
TransAmerica,Netherlands/Aegon NV,"$418,500 ","$211,000 ","$207,500 "
Transcanada USA Services (TC Energy),Canada/TC Energy,"$138,500 ","$30,500 ","$108,000 "
UBS Americas,Switzerland/UBS AG,"$1,470,000 ","$775,000 ","$695,000 "
UCB Inc (UCB SA),Belgium/UCB SA,"$52,500 ","$31,000 ","$21,500 "
Universal Music Group (Universal Music Group),Netherlands/Universal Music Group NV,"$131,000 ","$76,000 ","$55,000 "
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$8,000 ","$4,500 ","$3,500 "
Varian Medical Systems (Siemens AG),Germany/Siemens AG,"$65,800 ","$39,300 ","$26,500 "
Veolia North America,France/Veolia Environnement,"$20,500 ","$18,500 ","$2,000 "
VNA Holding (AB Volvo),Sweden/AB Volvo,"$67,500 ","$40,000 ","$27,500 "
VT Halter Marine,Singapore/ST Engineering,"$18,000 ","$1,000 ","$17,000 "
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$23,400 ","$14,400 ","$9,000 "
Westinghouse Electric (Brookfield Asset Management),Canada/Brookfield Asset Management,"$41,000 ","$15,000 ","$26,000 "
WSP USA,Canada/WSP Global,"$64,750 ","$44,250 ","$20,500 "
ZF Automotive US (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,"($2,000)",$0 ,"($2,000)"
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$308,000 ","$144,000 ","$164,000 "
