PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Fireman's Fund Insurance (Allianz),Germany/Allianz AG Holding,"$63,900 ","$17,050 ","$46,850 "
Food Lion,Belgium/Delhaize Group,"$25,000 ","$13,750 ","$11,250 "
Fortis Inc,Belgium/Fortis AG,"$8,500 ","$2,500 ","$6,000 "
GEC-Marconi Hazeltine (BAE Systems),UK/BAE Systems,$0 ,$0 ,$0 
Genentech Inc (Roche Holdings),Switzerland/Roche Group,"$123,250 ","$62,750 ","$60,500 "
Gilman Paper,Mexico/Grupo Industrial Durango,"$12,412 ",$0 ,"$12,412 "
GKN Corp,UK/GKN PLC,"$4,775 ",$0 ,"$4,775 "
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$604,759 ","$109,998 ","$494,761 "
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$135,500 ","$35,750 ","$99,750 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$12,065 ","$7,315 ","$4,750 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$46,000 ","$5,000 ","$41,000 "
Greyhound Lines,Canada/Laidlaw,"$36,500 ","$20,000 ","$16,500 "
Guinness/UDV North America (Diageo PLC),UK/Diageo PLC,"$97,500 ","$48,500 ","$49,000 "
Heublein UDV (Diageo plc),UK/Diageo PLC,"$1,500 ",$500 ,"$1,000 "
Hill & Knowlton (WPP Group),UK/WPP Group,"$42,500 ","$21,000 ","$21,500 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$143,249 ","$48,000 ","$95,249 "
Holnam Inc,Switzerland/Holderbank Financiere Glaris,"$52,250 ","$12,000 ","$40,250 "
HSBC USA,UK/HSBC Holdings,"$7,160 ","$3,500 ","$3,660 "
ING US (ING Group),Netherlands/ING Group,"$86,500 ","$25,000 ","$61,500 "
Instinet Corp,UK/Reuters Group,"$47,800 ","$17,250 ","$30,550 "
JA Jones Construction (Philipp Holzmann AG),Germany/Philipp Holzmann AG,"$1,250 ","$1,000 ",$250 
Jackson National Life Insurance,UK/Prudential PLC,"$77,100 ","$19,500 ","$57,600 "
Joseph E Seagram & Sons (Vivendi Universal),France/Vivendi Universal,"$117,822 ","$50,000 ","$67,822 "
Kennecott Energy,UK/Rio Tinto PLC,"$71,045 ","$12,000 ","$59,045 "
LaFarge Corp,France/Lafarge SA,"$21,550 ","$10,100 ","$11,450 "
LaSalle National Corp (ABN AMRO),Netherlands/ABN Amro Holding,"$23,075 ","$12,375 ","$10,700 "
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$13,500 ","$2,000 ","$11,500 "
Lehigh Portland Cement,Germany/HeidelbergCement AG,"$11,500 ","$3,000 ","$8,500 "
Lone Star Industries,Germany/Dyckerfhoff,"$7,000 ","$1,000 ","$6,000 "
Loral Space & Communications,UK/Loral Space & Communications,"$107,000 ","$86,000 ","$21,000 "
Louisville Gas & Electric,UK/PowerGen,"$5,000 ",$0 ,"$5,000 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$37,000 ","$7,500 ","$29,500 "
Mallinckrodt Pharmaceuticals (Tyco International),Ireland/Tyco International,"$149,400 ","$55,500 ","$93,900 "
Massachusetts Financial Services,Canada/Sun Life Financial Services,"$21,000 ","$11,500 ","$9,500 "
Master Builders Inc,Germany/E.ON AG,"$2,000 ",$0 ,"$2,000 "
Michigan National Bank,Australia/National Australia Bank,"$16,500 ","$1,000 ","$15,500 "
National Grid USA (National Grid plc),UK/National Grid plc,"$52,000 ","$33,000 ","$19,000 "
National Steel Corp,Japan/NKK Corp,$0 ,$0 ,$0 
NCS Pearson (Pearson PLC),UK/Pearson PLC,$600 ,$300 ,$300 
Nestle USA (Nestle SA),Switzerland/Nestle,"$52,000 ","$13,000 ","$37,500 "
News America Publishing,Australia/News Corp,"$82,500 ","$31,000 ","$51,500 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$157,969 ","$33,733 ","$124,236 "
Oldcastle Materials,Ireland/CRH PLC,"$81,841 ","$28,000 ","$53,841 "
ONDEO Nalco (SUEZ SA),France/Suez Lyonnaise des Eaux,"$35,750 ","$4,750 ","$31,000 "
Oppenheimer Capital (Allianz),Germany/Allianz AG Holding,$0 ,$0 ,$0 
Organon Inc,Netherlands/Akzo Nobel,"$2,250 ",$250 ,"$2,000 "
PacifiCorp,UK/Scottish Power,"$11,500 ","$4,250 ","$7,250 "
PaineWebber,Switzerland/UBS AG,"$85,950 ","$29,950 ","$56,000 "
Peter Pan Seafoods,Japan/Nichiro Corp,"$1,700 ",$0 ,"$1,700 "
Philips Electronics North America,Netherlands/Philips Electronics,"$55,700 ","$6,500 ","$49,200 "
Pilkington North America,UK/Pilkington Group,"$13,500 ","$1,000 ","$12,500 "
Pillsbury Co (Diageo PLC),UK/Diageo PLC,"$33,000 ","$8,500 ","$24,500 "
Pinkerton Tobacco,Sweden/Swedish Match AB,"$49,750 ","$8,000 ","$40,750 "
Reed Elsevier Inc,UK/Reed Elsevier Group,"$10,250 ","$4,250 ","$6,000 "
Reliastar Financial (ING Group),Netherlands/ING Group,"$54,096 ","$21,715 ","$32,381 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce International,"$54,629 ","$15,218 ","$39,411 "
Roquette America,France/Roquette Freres,"$3,750 ","$3,000 ",$750 
Sagem Morpho Inc,France/Sagem SA,"$2,000 ","$2,000 ",$0 
Sea-Land Service (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$74,100 ","$24,500 ","$49,350 "
Security Life of Denver (ING Group),Netherlands/ING Group,"$13,600 ","$4,100 ","$9,500 "
Serono Inc,Switzerland/Serono SA,"$7,000 ","$5,000 ","$2,000 "
Shaklee Corp (Yamanouchi Consumer),Japan/Yamanouchi Pharmaceutical,$0 ,$0 ,$0 
Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch/Shell Group of Companies,"$118,600 ","$29,500 ","$89,100 "
Siemens Corp (Siemens AG),Germany/Siemans AG,"$10,000 ","$4,000 ","$6,000 "
Siemens ElectroCom (Siemens AG),Germany/Siemens AG,"$4,500 ","$1,000 ","$3,500 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$78,750 ","$50,000 ","$28,750 "
