PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Louis Dreyfus Group (Louis Dreyfus Group),Netherlands/Louis Dreyfus Group,$0 ,$0 ,$0 
Lundbeck Inc,Denmark/H Lundbeck A/S,$0 ,$0 ,$0 
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$87,000 ","$19,500 ","$67,500 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$139,500 ","$54,500 ","$85,000 "
Magna Holdings of America,Canada/Magna International,"$1,758 ","$1,758 ",$0 
Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$26,000 ",$0 ,"$26,000 "
Marshall & Ilsley Corp (Bank of Montreal),Canada/Bank of Montreal,"$22,000 ","$1,500 ","$20,500 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$27,500 ","$14,000 ","$13,500 "
MBDA Inc,UK/MBDA,"$7,000 ","$1,000 ","$6,000 "
McDermott International (McDermott International),Panama/McDermott International,"$49,500 ","$3,500 ","$46,000 "
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,"$76,500 ","$40,000 ","$36,500 "
Metro-Goldwyn-Mayer (Sony Corp),Japan/Sony Corp,$0 ,$0 ,$0 
Millennium Pharmaceuticals (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$19,000 ","$10,500 ","$8,500 "
MillerCoors LLC,UK/SABMiller PLC,"$215,000 ","$45,500 ","$169,500 "
Miraca Life Sciences,Japan/Miraca Holdings,$0 ,$0 ,$0 
MorphoTrust USA,France/Safran Identity & Security,$0 ,$0 ,$0 
Munich American Reassurance,Germany/Munich Re Group,$0 ,$0 ,$0 
Nammo Talley Inc,Norway/Nammo AS,"$4,000 ","$3,500 ",$500 
National Cement Co,France/Vicat Group,"$2,500 ",$0 ,"$2,500 "
National Grid USA (National Grid plc),UK/National Grid plc,$0 ,$0 ,$0 
National Grid USA (National Grid plc),UK/National Grid plc,"$113,400 ","$81,900 ","$31,500 "
Natixis Global Asset Management,France/Groupe BPCE,$0 ,$0 ,$0 
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$22,500 ","$4,750 ","$17,750 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$22,000 ","$19,000 ","$3,000 "
Nomura Holding America,Japan/Nomura Holdings,"$65,500 ","$24,500 ","$41,000 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$330,200 ","$130,500 ","$199,700 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$232,042 ","$118,648 ","$112,394 "
Oldcastle Materials,Ireland/CRH PLC,"$207,500 ","$86,000 ","$116,500 "
Parsons Brinckerhoff,UK/Balfour Beatty,"$162,500 ","$115,750 ","$46,750 "
Pernod Ricard USA,France/Pernod Ricard SA,"$3,000 ",$0 ,"$3,000 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$4,750 ","$2,000 ","$2,750 "
Pharmavite LLC,Japan/Otsuka Pharmaceutical,"$75,500 ","$35,000 ","$40,500 "
Philips Electronics North America (Philips Electronics),Netherlands/Philips Electronics,"$125,704 ","$24,394 ","$100,310 "
Philips Medical Systems (Philips Electronics),Netherlands/Philips Electronics,$0 ,$0 ,$0 
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$26,000 ","$15,000 ","$11,000 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$31,212 ","$8,500 ","$22,712 "
QinetiQ North America (Qinetiq Group),UK/QinetiQ Group,"$32,000 ","$12,000 ","$20,000 "
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,$0 ,$0 ,$0 
RBC Centura Banks (Royal Bank of Canada),Canada/Royal Bank of Canada,$0 ,$0 ,$0 
Reebok International,Germany/adidas AG,$0 ,$0 ,$0 
Reed Elsevier Inc,UK/Reed Elsevier Group,"$103,500 ","$54,000 ","$49,500 "
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$31,750 ","$17,750 ","$14,000 "
Renre North America Inc,UK/RenaissanceRe Holdings,$0 ,$0 ,$0 
Res-Care Inc (Onex Corp),Canada/Onex Corp,"$28,750 ","$7,000 ","$21,750 "
Research In Motion,Canada/Research in Motion,"$3,500 ","$1,000 ","$2,500 "
Rio Tinto America,UK/Rio Tinto Group,"$28,000 ","$7,500 ","$20,500 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$263,250 ","$73,500 ","$189,750 "
Royal Ten Cate USA,Netherlands/Koninklijke Ten Cate,"$10,250 ","$3,000 ","$7,250 "
Safelite Group,Belgium/D'Ieteren SA,$0 ,$0 ,$0 
Safran USA (Safran SA),France/Le Groupe Safran,"$11,250 ","$2,500 ","$8,750 "
Sanofi US (Sanofi),France/Sanofi,"$125,500 ","$59,000 ","$66,500 "
Sanofi-Pasteur Inc (Sanofi),France/Sanofi,"$91,000 ","$34,500 ","$56,500 "
Santander Bank (Banco Santander),Spain/Banco Santander,$0 ,$0 ,$0 
SAP America,Germany/SAP AG,"$90,500 ","$35,500 ","$55,000 "
Schaeffler Group USA,Germany/Schaeffler Group,"$1,000 ",$0 ,"$1,000 "
Securitas Security Services USA,Sweden/Securitas AB,"$16,250 ","$1,000 ","$15,250 "
Serco Inc,UK/Serco Group,"$141,400 ","$49,000 ","$92,400 "
SES Americom (SES SA),Luxembourg/SES SA,$0 ,$0 ,$0 
Shell Oil,Netherlands/Royal Dutch Shell,"$27,000 ","$2,500 ","$24,500 "
Shire Pharmaceuticals (Shire Plc),UK/Shire Plc,$0 ,$0 ,$0 
Siemens Corp,Germany/Siemens AG,"$290,000 ","$138,500 ","$151,500 "
Skilled Healthcare Group (Onex Corp),Canada/Onex Corp,"$84,250 ","$31,750 ","$52,500 "
Smith & Nephew,UK/Smith & Nephew Plc,"$26,000 ","$10,000 ","$16,000 "
Smiths Group Services Corp,UK/Smiths Group PLC,"$62,250 ","$16,500 ","$47,750 "
Sodexo Inc,France/Sodexo,"$33,000 ","$26,000 ","$7,000 "
Solvay America,Belgium/Solvay SA,$0 ,$0 ,$0 
SonoSite Inc,Japan/FujiFilm,"$1,750 ",$750 ,"$1,000 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$221,248 ","$116,248 ","$105,000 "
Space Systems/Loral,Canada/MacDonald Dettwiler & Assoc,"$11,000 ","$4,000 ","$7,000 "
Spirit Aerosystems (Onex Corp),Canada/Onex Corp,"$31,500 ","$3,000 ","$28,500 "
Sprint Nextel (Sprint Nextel),Japan/Softbank Corp,"$312,306 ","$151,500 ","$160,806 "
SSAB Americas,Sweden/SSAB AB,"$10,500 ","$2,000 ","$8,500 "
StandardAero,United Arab Emirates/Dubai Aerospace Enterprise,"$24,000 ","$6,000 ","$18,000 "
Sun Life Assurance of Canada (Sun Life Financial),Canada/Sun Life Financial,"$5,000 ","$1,000 ","$4,000 "
Sunovion Pharmaceuticals,Japan/Sumitomo Chemical,"$32,000 ","$13,000 ","$19,000 "
Sunpower Corp,France/Total SA,"$20,500 ","$12,000 ","$7,500 "
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$54,509 ","$15,500 ","$39,009 "
Swiss Re America,Switzerland/Swiss Reinsurance,"$20,000 ","$10,500 ","$9,500 "
Syngenta Corp,Switzerland/Syngenta AG,"$255,000 ","$90,500 ","$164,500 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$473,500 ","$198,500 ","$275,000 "
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$67,000 ","$33,500 ","$33,500 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$19,250 ","$3,250 ","$16,000 "
TD Bank USA,Canada/Toronto-Dominion Bank,"$38,500 ","$18,500 ","$17,500 "
TE Connectivity,Switzerland/TE Connectivity,"$62,000 ","$11,500 ","$50,500 "
Terumo BCT,Japan/Terumo Corp,"$1,000 ","$1,000 ",$0 
Teva Pharmaceuticals USA (Teva Pharmaceutical Industries),Israel/Teva Pharmaceutical Industries,"$204,500 ","$94,500 ","$110,000 "
TransAmerica,Netherlands/Aegon NV,"$237,000 ","$107,500 ","$129,500 "
Transcanada USA Services,Canada/TransCanada Corp,$0 ,$0 ,$0 
Tronox Inc,Australia/Tronox Ltd,$500 ,$0 ,$500 
Tyco International,Ireland/Tyco International,"$360,742 ","$120,000 ","$240,742 "
UBS Americas,Switzerland/UBS AG,"$861,500 ","$461,500 ","$400,000 "
Ultra Electronics Prologic,UK/Ultra Electronics,$0 ,$0 ,$0 
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$23,000 ","$10,500 ","$12,500 "
United Water,France/SUEZ Environnement,"$27,000 ","$25,500 ","$1,500 "
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$95,251 ","$48,500 ","$46,751 "
VT Halter Marine,Singapore/ST Engineering,"$5,000 ",$0 ,"$5,000 "
Weatherford US,UK/Weatherford International,"$8,000 ",$0 ,"$8,000 "
Westfield Corp,Australia/Westfield Group of Australia,"$34,353 ","$34,353 ",$0 
Westinghouse Electric,Japan/Toshiba Corp,"$65,700 ","$29,000 ","$36,700 "
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$127,500 ","$51,500 ","$76,000 "
Willis North America,UK/Willis Group Holdings,"$14,000 ",$0 ,"$14,000 "
XL America,Ireland/XL Group PLC,"$8,300 ","$7,300 ","$1,000 "
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$164,500 ","$73,500 ","$89,000 "
