PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Seven & I Holdings,$0 ,$0 ,$0 
ABB Group,Switzerland/Asea Brown Boveri,"$17,000 ","$7,500 ","$9,000 "
Accenture (Accenture),Ireland/Accenture plc,"$337,400 ","$193,000 ","$143,400 "
Accenture (Accenture),Ireland/Accenture plc,$0 ,$0 ,$0 
ACE INA,Switzerland/ACE Ltd,"$240,500 ","$129,500 ","$111,000 "
AEGON USA,Netherlands/Aegon NV,"$186,000 ","$106,500 ","$79,500 "
Agrium US,Canada/Agrium Inc,"$2,400 ",$0 ,$0 
Air Liquide America,France/L'Air Liquide SA,"$24,950 ","$18,200 ","$4,250 "
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,$0 ,$0 ,$0 
Alcatel-Lucent USA (Alcatel-Lucent),France/Alcatel-Lucent,"$21,000 ","$15,500 ","$5,500 "
Alcon Laboratories (Novartis AG),Switzerland/Novartis,"$29,455 ","$8,455 ","$21,000 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$84,850 ","$37,850 ","$47,000 "
American Medical Response (Onex Corp),Canada/Onex Corp,"$44,200 ","$38,200 ","$6,000 "
Anheuser-Busch,Belgium/Anheuser-Busch InBev,"$854,500 ","$454,000 ","$399,500 "
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$62,500 ","$35,000 ","$25,000 "
Arcadis US,Netherlands/Arcadis NV,"$237,750 ","$136,250 ","$97,500 "
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$60,500 ","$42,500 ","$18,000 "
Arch Capital Group (US),UK/Arch Capital Group,"$12,800 ","$9,300 ","$3,500 "
AREVA Inc,France/Areva Group,"$99,900 ","$62,400 ","$34,500 "
Arkema Inc,France/Arkema,"$14,500 ","$8,500 ","$6,000 "
Astellas US,Japan/Astellas Pharma,"$93,500 ","$56,000 ","$37,500 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$703,500 ","$368,000 ","$328,500 "
Atlantic Marine (BAE Systems),UK/BAE Systems,"$20,500 ","$10,000 ","$10,500 "
Aviva USA,UK/Aviva PLC,$0 ,$0 ,$0 
AXA Equitable Life Insurance (AXA),France/AXA,"$285,500 ","$171,500 ","$114,000 "
AXIS Specialty US Services (AXIS Capital),UK/AXIS Captial,"$3,000 ","$3,000 ",$0 
Bacardi USA,UK/Bacardi Ltd,"$20,025 ","$11,025 ","$8,000 "
BAE Systems (BAE Systems),UK/BAE Systems,"$745,000 ","$418,500 ","$326,000 "
Ballard Power Systems,Canada/Ballard Power Systems,$0 ,$0 ,$0 
BancWest Corp (BNP Paribas),France/BNP Paribas,$0 ,$0 ,$0 
Barclays Group US (Barclays),UK/Barclays plc,"$104,000 ","$46,500 ","$57,500 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$152,500 ","$33,000 ","$104,500 "
BASF Corp (BASF SE),Germany/BASF SE,"$350,500 ","$102,000 ","$246,500 "
Bayer Corp,Germany/Bayer AG,"$419,000 ","$184,000 ","$231,000 "
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$164,000 ","$42,000 ","$122,000 "
BMO Harris Bank,Canada/Bank of Montreal,"$2,050 ","$2,050 ",$0 
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$236,000 ","$132,500 ","$101,500 "
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$20,000 ","$19,000 ","$1,000 "
BP North America,UK/BP PLC,"$71,500 ","$31,500 ","$35,000 "
Bridgestone Americas,Japan/Bridgestone Corp,"$104,000 ","$65,500 ","$38,500 "
Bumble Bee Foods,UK/Lion Capital,"$17,250 ","$12,750 ","$4,500 "
Burson-Marsteller (WPP Group),UK/WPP Group,"$82,250 ","$50,750 ","$31,500 "
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$7,050 ","$1,000 ","$6,050 "
CalPortland Co,Japan/Taiheiyo Cement Co,"$130,500 ","$22,000 ","$106,000 "
Carmeuse Lime,Netherlands/LVI Holding,"$9,500 ","$8,000 ","$1,500 "
Case New Holland,Italy/Fiat SPA,"$82,000 ","$5,000 ","$77,000 "
