PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
CEMEX Inc,Mexico/CEMEX SAB de CV,"$260,800 ","$33,400 ","$225,000 "
CGI Technologies & Solutions (CGI Group),Canada/CGI Group,"$62,854 ","$34,000 ","$28,854 "
Ciba Inc (BASF SE),Germany/BASF SE,"$15,725 ","$7,725 ","$8,000 "
Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$111,150 ","$89,150 ","$22,000 "
Cobham Holdings (Cobham Holdings),UK/Cobham plc,"$15,000 ","$4,000 ","$11,000 "
Cobham Management Services (Cobham PLC),UK/Cobham PLC,"$137,125 ","$70,400 ","$64,225 "
Commonwealth Brands,UK/Imperial Tobacco Group,"$68,300 ","$27,300 ","$41,000 "
Converteam Inc (Barclays),UK/Barclays,"$1,800 ","$1,800 ",$0 
Cooper Industries,Ireland/Cooper Industries Ltd,"$63,000 ","$26,000 ","$37,000 "
Covidien US,UK/Covidien Ltd,"$182,500 ","$104,000 ","$78,500 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$487,000 ","$246,500 ","$240,500 "
CSL Behring,Australia/CSL Ltd,"$34,250 ","$17,250 ","$17,000 "
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$191,500 ","$65,500 ","$124,000 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$85,400 ","$48,400 ","$37,000 "
DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$3,000 ","$3,000 ",$0 
Diageo North America (Diageo PLC),UK/Diageo PLC,"$131,752 ","$87,919 ","$43,833 "
Diageo North America/CT (Diageo PLC),UK/Diageo PLC,$0 ,$0 ,$0 
DRS Technologies,Italy/Finmeccanica SpA,"$416,300 ","$186,000 ","$229,300 "
EADS North America,Netherlands/European Aeronautic Defence & Space Co,"$207,200 ","$104,500 ","$102,700 "
Eisai Inc,Japan/Eisai Co Ltd,"$68,000 ","$48,500 ","$19,500 "
Elbit Systems of America,Israel/Elbit Systems Ltd,"$22,500 ","$11,500 ","$11,000 "
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$7,000 ","$2,500 ","$3,500 "
EmCare Inc (Onex Corp),Canada/Onex Corp,$0 ,$0 ,$0 
EMD Serono Inc,Germany/Merck KGaA,"$123,000 ","$83,000 ","$40,000 "
EnCana Oil & Gas USA,Canada/EnCana Corp,$0 ,$0 ,$0 
Essroc Corp,Italy/Italcementi Group,"$8,500 ","$2,500 ","$6,000 "
Experian,UK/Experian,"$477,727 ","$145,000 ","$332,727 "
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$176,944 ","$34,650 ","$141,794 "
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$11,300 ","$9,800 ","$1,500 "
FirstGroup America (FirstGroup PLC),UK/FirstGroup PLC,$0 ,$0 ,$0 
Food Lion,Belgium/Delhaize Group,"$14,000 ","$4,500 ","$9,500 "
Foster Wheeler,Switzerland/Foster Wheeler PLC,$0 ,$0 ,$0 
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$125,102 ","$97,500 ","$27,602 "
G4S Secure Solutions,UK/G4S plc,"$61,500 ","$24,000 ","$32,500 "
GDF Suez Energy North America,France/GDF SUEZ,"$72,750 ","$41,000 ","$26,750 "
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$290,500 ","$128,500 ","$160,000 "
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0 ,$0 ,$0 
GKN Corp,UK/GKN PLC,"$1,000 ","$1,000 ",$0 
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,"$2,900 ",$500 ,"$2,400 "
GlaxoSmithKline,UK/GlaxoSmithKline,"$619,500 ","$316,000 ","$297,500 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$44,250 ","$26,000 ","$18,250 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$12,000 ","$6,000 ","$6,000 "
Greyhound Lines (FirstGroup PLC),UK/FirstGroup PLC,"$16,000 ","$10,500 ","$5,500 "
Gtech Corp,Italy/B&D Holding Di Marco Drago e C Sapa,"$3,500 ","$3,500 ",$0 
Halcrow Inc,UK/Halcrow Holdings,"$1,000 ","$1,000 ",$0 
Heineken USA,Netherlands/L'Arche Green NV,"$53,500 ","$34,000 ","$19,500 "
Henkel Corp (Henkel KGaA),Germany/Henkel KGaA,"$11,000 ","$7,000 ","$4,000 "
Herbalife International of America,UK/Herbalife International,"$63,080 ","$35,000 ","$28,080 "
Hill & Knowlton (WPP Group),UK/WPP Group,"$1,250 ","$1,000 ",$250 
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$172,000 ","$98,500 ","$71,000 "
Holcim US,Switzerland/Holcim Ltd,"$33,500 ","$25,000 ","$8,500 "
Horizon Wind Energy,Portugal/EDP Renovaveis,"$2,250 ","$1,250 ","$1,000 "
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$339,000 ","$156,500 ","$182,500 "
HSBC North America/Florida (HSBC Holdings),UK/HSBC Holdings,$0 ,$0 ,$0 
Iberdrola Renewables (Iberdrola SA),Spain/Iberdrola SA,"$30,000 ","$26,500 ","$2,500 "
Iberdrola USA (Iberdrola SA),Spain/Iberdrola SA,"$11,250 ","$11,250 ",$0 
Infineon Technologies,Germany/Infineon Technologies AG,"$1,000 ","$1,000 ",$0 
ING US (ING Group),Netherlands/ING Group,"$110,500 ","$68,000 ","$42,500 "
Intelsat US (Serafina SA),Luxembourg/Serafina SA,"$66,900 ","$48,900 ","$18,000 "
Intergraph Corp,Sweden/Hexagon AB,"$19,000 ","$7,000 ","$12,000 "
International Power America,UK/International Power,"$19,000 ","$11,500 ","$4,000 "
International Securities Exchange,Germany/Deutsche Boerse,"$49,500 ","$31,500 ","$18,000 "
Jackson National Life Insurance,UK/Prudential PLC,"$122,774 ","$40,000 ","$82,774 "
JBS USA,Brazil/JBS SA,"$162,050 ","$58,000 ","$104,050 "
John Hancock Life Insurance,Canada/Manulife Financial,"$143,900 ","$96,500 ","$47,400 "
Kurtzman Carson Consultants,Australia/Computershare Limited,$0 ,$0 ,$0 
LaFarge North America,France/Lafarge SA,"$91,000 ","$37,500 ","$53,500 "
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$5,580 ","$1,000 ","$4,580 "
Linde North America,Germany/Linde AG,"$10,000 ","$8,000 ","$2,000 "
Louis Dreyfus Group (Louis Dreyfus SAS),Netherlands/Louis Dreyfus SAS,"$37,500 ","$12,000 ","$25,500 "
Lundbeck Inc,Denmark/H Lundbeck A/S,$0 ,$0 ,$0 
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$65,750 ","$27,000 ","$34,250 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$136,750 ","$81,000 ","$54,750 "
Magna Holdings of America,Canada/Magna International,"$2,250 ","$2,250 ",$0 
Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$12,700 ","$7,200 ","$5,500 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$40,000 ","$23,000 ","$17,000 "
MBDA Inc,UK/MBDA,$0 ,$0 ,$0 
McDermott International (McDermott International),Panama/McDermott International,"$35,500 ","$3,500 ","$31,000 "
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,"$104,500 ","$60,500 ","$41,000 "
Metallurg Vanadium Corp,Netherlands/AMG Advanced Metallurgical Group,$0 ,$0 ,$0 
Metro-Goldwyn-Mayer (Sony Corp),Japan/Sony Corp,"($2,500)",$0 ,"($2,500)"
Millennium Pharmaceuticals (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$28,000 ","$22,000 ","$6,000 "
Miller Brewing (SABMiller),UK/SABMiller PLC,$0 ,$0 ,$0 
MillerCoors LLC (SABMiller),UK/SABMiller PLC,"$205,500 ","$97,500 ","$107,000 "
National Grid USA (National Grid plc),UK/National Grid plc,"$141,350 ","$121,100 ","$18,250 "
National Grid USA (National Grid plc),UK/National Grid plc,$500 ,$500 ,$0 
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$25,500 ","$4,500 ","$21,000 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$19,500 ","$10,500 ","$8,000 "
Nomura Holding America,Japan/Nomura Holdings,$0 ,$0 ,$0 
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$339,750 ","$163,250 ","$174,000 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$170,818 ","$102,318 ","$67,500 "
Oldcastle Materials,Ireland/CRH PLC,"$301,000 ","$165,500 ","$134,500 "
Parsons Brinckerhoff,UK/Balfour Beatty,"$162,618 ","$127,718 ","$34,900 "
PBS&J Inc,UK/WS Atkins PLC,"$11,750 ","$9,100 ",$250 
Pernod Ricard USA,France/Pernod Ricard SA,"$21,500 ","$12,000 ","$9,500 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$3,350 ","$1,500 ",$250 
Pharmavite LLC,Japan/Otsuka Pharmaceutical,"$47,000 ","$23,000 ","$22,000 "
Philips Electronics North America (Philips Electronics),Netherlands/Philips Electronics,"$118,200 ","$38,250 ","$76,200 "
Philips Medical Systems (Philips Electronics),Netherlands/Philips Electronics,$0 ,$0 ,$0 
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$54,000 ","$15,500 ","$38,500 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$17,266 ","$11,766 ","$5,500 "
QBE Regional Insurance,Australia/QBE Insurance Group,$0 ,$0 ,$0 
QinetiQ North America (Qinetiq Group),UK/QinetiQ Group,"$22,000 ","$10,500 ","$11,500 "
RBC Centura Banks (Royal Bank of Canada),Canada/Royal Bank of Canada,"$1,250 ","$1,000 ",$250 
Reebok International,Germany/adidas AG,"$4,500 ","$4,500 ",$0 
Reed Elsevier Inc,UK/Reed Elsevier Group,"$97,300 ","$60,500 ","$36,800 "
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$27,750 ","$22,500 ","$3,250 "
Renre North America Inc,UK/RenaissanceRe Holdings,$0 ,$0 ,$0 
Research In Motion,Canada/Research in Motion,"$16,000 ","$8,000 ","$8,000 "
Rio Tinto America,UK/Rio Tinto Group,"$71,000 ","$36,500 ","$30,500 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$353,800 ","$176,800 ","$172,000 "
Sanofi-Aventis US (Sanofi-Aventis),France/Sanofi-Aventis,"$87,000 ","$43,500 ","$43,500 "
Sanofi-Pasteur Inc (Sanofi-Aventis),France/Sanofi-Aventis,"$44,500 ","$19,750 ","$24,750 "
Santander Bank (Banco Santander),Spain/Banco Santander,"$9,500 ","$9,500 ",$0 
SAP America,Germany/SAP AG,"$46,500 ","$31,000 ","$15,500 "
Schaeffler Group USA,Germany/Schaeffler Group,"$3,000 ","$2,000 ","$1,000 "
Securitas Security Services USA,Sweden/Securitas AB,"$10,500 ",$0 ,"$10,500 "
Serco Inc,UK/Serco Group,"$86,900 ","$41,000 ","$45,900 "
SES Americom (SES SA),Luxembourg/SES SA,"$3,000 ","$3,000 ",$0 
Severstal Warren,Russia/OAO Severstal,$0 ,$0 ,$0 
Shell Oil,Netherlands/Royal Dutch Shell,$0 ,$0 ,$0 
Shire Pharmaceuticals,UK/Shire Plc,"$1,500 ","$1,000 ",$500 
Siemens Corp,Germany/Siemens AG,"$302,000 ","$171,000 ","$128,000 "
Skilled Healthcare Group (Onex Corp),Canada/Onex Corp,"$13,500 ","$13,500 ",$0 
Smith & Nephew,UK/Smith & Nephew Plc,$0 ,$0 ,$0 
Smiths Detection,UK/Smiths Group PLC,"$10,800 ","$7,800 ","$1,000 "
Sodexo Inc,France/Sodexo,"$49,500 ","$41,000 ","$8,500 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$191,900 ","$111,400 ","$79,500 "
Space Systems/Loral,UK/Loral Space & Communications,"$6,900 ","$6,900 ",$0 
Spirit Aerosystems (Onex Corp),Canada/Onex Corp,"$28,400 ","$5,000 ","$23,400 "
Stanley Inc (CGI Group),Canada/CGI Group,"$17,400 ","$8,200 ","$9,200 "
Sun Life Assurance of Canada (Sun Life Financial),Canada/Sun Life Financial,"$19,900 ","$13,900 ","$6,000 "
Sunovion Pharmaceuticals,Japan/Sumitomo Chemical,"$32,500 ","$29,500 ","$3,000 "
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$71,500 ","$32,500 ","$39,000 "
Swiss Re America,Switzerland/Swiss Reinsurance,"$20,200 ","$12,400 ","$7,800 "
Syngenta Corp,Switzerland/Syngenta AG,"$249,000 ","$145,500 ","$103,500 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$398,150 ","$220,400 ","$177,750 "
Takeda Pharmaceuticals North America (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$17,000 ","$7,000 ","$10,000 "
Talecris Biotherapeutics,Spain/Grifols SA,"$50,000 ","$25,000 ","$25,000 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$28,950 ","$11,500 ","$17,450 "
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$96,700 ","$56,200 ","$40,500 "
Timex Group USA,Netherlands/Timex Group,$0 ,$0 ,$0 
Tyco International,Ireland/Tyco International,"$263,000 ","$134,000 ","$129,000 "
UBS Americas,Switzerland/UBS AG,"$469,500 ","$258,500 ","$206,000 "
Ultra Electronics Prologic,UK/Ultra Electronics,"$33,450 ","$20,000 ","$12,950 "
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,$0 ,$0 ,$0 
United Water,France/SUEZ Environnement,"$15,100 ","$10,100 ","$5,000 "
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$145,300 ","$82,800 ","$61,500 "
VT Halter Marine,Singapore/ST Engineering,"$4,000 ","$2,500 ","$1,000 "
Weatherford US,UK/Weatherford International,"$11,100 ","$2,900 ","$8,200 "
Westfield Corp,Australia/Westfield Group of Australia,"$15,126 ","$15,126 ",$0 
Westinghouse Electric,Japan/Toshiba Corp,"$35,000 ","$18,500 ","$16,500 "
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$100,000 ","$62,500 ","$36,500 "
Willis North America,UK/Willis Group Holdings,"$7,500 ","$4,500 ","$3,000 "
XL America,Ireland/XL Group PLC,"$1,500 ","$1,500 ",$0 
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$168,000 ","$78,000 ","$90,000 "
