PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Seven & I Holdings,$0 ,$0 ,$0 
ABB Group,Switzerland/Asea Brown Boveri,"$9,250 ","$2,250 ","$6,500 "
Accenture (Accenture),UK/Accenture plc,"$313,380 ","$115,680 ","$195,700 "
Accenture (Accenture),UK/Accenture plc,$0 ,$0 ,$0 
ACE INA,UK/ACE Ltd,"$108,000 ","$33,000 ","$75,000 "
Acuson Corp (Siemens AG),Germany/Siemens AG,$0 ,$0 ,$0 
AEGON USA,Netherlands/Aegon NV,"$153,500 ","$58,000 ","$94,000 "
Agrium US,Canada/Agrium Inc,$0 ,$0 ,$0 
AIM Management Group,UK/AMVESCAP,"$32,000 ","$12,500 ","$19,500 "
Air Liquide America,France/L'Air Liquide SA,"$4,000 ","$2,000 ","$2,000 "
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,"$68,000 ","$25,000 ","$43,000 "
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,"$20,000 ","$8,000 ","$12,000 "
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$40,826 ","$3,500 ","$37,326 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$119,650 ","$38,100 ","$80,550 "
Allied Domecq Spirits & Wine (Pernod Ricard),France/Pernod Ricard SA,"$17,575 ","$3,515 ","$14,060 "
American Medical Response (Onex Corp),Canada/Onex Corp,"$15,750 ","$2,500 ","$11,250 "
American Water Works Co (RWE AG),Germany/RWE AG,$0 ,$0 ,$0 
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$31,000 ","$13,500 ","$17,500 "
Arcadis G&M,Netherlands/Arcadis NV,"$46,800 ","$11,000 ","$35,800 "
AREVA Inc,France/Areva Group,"$95,500 ","$32,000 ","$58,500 "
Arkema Inc,France/Arkema,"$19,000 ","$2,000 ","$17,000 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$384,320 ","$105,820 ","$276,500 "
